D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_2.d ,1,1.851,3.942,4.498,998.3,34501.89,100,100,100,0.576,,0,306.04,,,,,0,24.89,3.7,0,,,  ,146.0454,,,,,,,,,,,
F:\2306\RC\230619\empty_30_2.d ,1,1.848,2.673,3.965,2196.94,42563.06,100,100,100,0.323,,0,0,,,,,8.53,13.36,0.77,0,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_1.d ,1,1.851,3.962,4.498,1232.01,46859.94,100,100,100,0.634,,0,0,,,,,0,12.11,4.16,0,,,  ,146.0454,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_1.d ,1,1.855,3.963,4.501,1180.78,50183.12,100,100,100,0.708,,0,0,,,,,0,9.87,3.69,767.86,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\mal_30_2.d ,1,1.849,2.677,3.967,4062.62,62667.54,100,100,100,0.257,,0,0,,,,,28.33,48.41,1.06,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_240_2.d ,1,2.299,2.648,3.136,79957,131500,100,100,100,0.837,,6055,0,6055,0,,83485,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\pyr_30_1.d ,1,1.862,2.703,4.191,10102.61,136751.81,100,100,100,0.226,,0,0,,,,,22.13,21.31,0.99,9404.03,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\pyr_30_2.d ,1,1.847,2.69,4.494,10683.94,148267.19,100,100,100,0.231,,0,0,,,,,22.97,55.81,0.96,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_30_1.d ,1,2.274,3.426,3.947,51521,159048,100,100,100,1.673,,0,0,0,0,,51521,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\pyr_240_2.d ,1,1.928,2.648,3.196,82372,234652,100,100,100,1.269,,0,1501,0,1501,,83224,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\mal_120_1.d ,1,1.851,2.695,4.498,21638.97,276415.71,100,100,100,0.213,,313.33,0,,,,,70.02,95.87,1.03,18588.69,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_30_2.d ,1,1.847,3.499,4.494,16624.75,277190.86,100,100,100,0.516,,0,0,,,,,40.59,40.59,1.02,25926.37,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_120_1.d ,1,1.851,2.693,4.498,21597.84,285020.69,100,100,100,0.22,,0,0,,,,,16.55,72,1.03,15745.15,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_120_2.d ,1,2.052,2.651,3.327,83026,288363,100,100,100,1.274,,0,0,0,0,,83026,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\mal_240_1.d ,1,1.851,2.694,3.873,23046.74,288467.93,100,100,100,0.209,,536.95,0,,,,,116.39,17.77,1.01,20119.04,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_120_2.d ,1,1.851,2.694,3.969,22662.03,292633.17,100,100,100,0.215,,0,0,,,,,39.84,33.02,1.03,21418.96,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_240_1.d ,1,1.85,2.693,4.497,23945.61,309835.67,100,100,100,0.216,,0,0,,,,,25.02,43.75,1,23513.45,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_240_1.d ,1,1.856,2.701,4.503,24913.48,313778.97,100,100,100,0.21,,0,0,,,,,157.78,68.13,0.98,9226.16,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\mal_240_2.d ,1,1.849,2.693,4.496,25131.09,322781.15,100,100,100,0.214,,0,0,,,,,58.61,11.89,0.99,18850.88,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_1.d ,1,1.848,3.501,4.494,21249.51,348923.55,100,100,100,0.528,,0,0,,,,,75.72,35.02,1.05,13869.99,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_480_2.d ,1,1.983,2.648,3.612,100742,391201,100,100,100,1.629,,941,0,941,0,,101299,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\pyr_480_1.d ,1,1.852,2.699,4.499,35366.65,446370.91,100,100,100,0.21,,0,848.26,,,,,56.95,88.25,0.96,32314.23,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\mal_480_2.d ,1,1.854,2.7,4.501,37295.12,471059.09,100,100,100,0.211,,0,0,,,,,32.72,109.81,0.98,24952.37,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\empty_480_2.d ,1,1.854,2.699,4.5,36853.83,472085.35,100,100,100,0.213,,318.21,530.5,,,,,29.88,83.41,0.94,25309.18,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\mal_480_1.d ,1,1.852,2.698,4.499,37603.86,474134.81,100,100,100,0.21,,0,0,,,,,76.98,118.47,0.98,30832.47,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\empty_480_1.d ,1,1.855,2.701,4.502,37249.27,478055.56,100,100,100,0.214,,0,0,,,,,69.8,125.46,0.96,21799.29,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\ser_60_2.d ,1,1.846,3.487,4.493,31817.35,560622.77,100,100,100,0.554,,0,0,,,,,8.02,54.77,1,32436.21,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_120_1.d ,1,1.85,2.693,4.497,23159.36,639059.7,100,100,100,0.46,,0,0,,,,,36.08,62.13,0.31,20940.21,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_30_1.d ,1,1.846,3.167,4.493,37985.51,677490.2,100,100,100,0.297,,352.91,0,,,,,34.95,182.02,0.98,17005.58,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_240_1.d ,1,1.849,2.692,4.496,23798.22,677499.55,100,100,100,0.474,,0,0,,,,,5.95,27.89,0.3,22981.03,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_30_2.d ,1,1.862,2.722,4.508,35080.14,711191.8,100,100,100,0.338,,0,0,,,,,95.88,173.64,0.56,0,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\ser_240_2.d ,1,1.862,2.704,4.508,26935.3,807028.85,100,100,100,0.499,,259.02,0,,,,,47,21.53,0.28,0,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\ser_120_2.d ,1,1.847,2.691,4.494,31142.07,908424.52,100,100,100,0.486,,0,0,,,,,26.11,90.29,0.28,31622.69,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_120_1.d ,1,1.861,2.763,4.508,29701.95,919714.61,100,100,100,0.516,,0,0,,,,,31.19,118.75,0.53,0,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\ser_480_1.d ,1,1.848,2.693,4.494,34492.8,979223.05,100,100,100,0.473,,0,327.47,,,,,45.17,123.94,0.28,27927.19,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\gly_60_2.d ,1,1.847,3.187,4.493,49927.04,982370.51,100,100,100,0.328,,0,0,,,,,130.66,215.33,0.97,129109.84,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\gly_120_2.d ,1,1.846,2.731,4.492,33171.06,997302.21,100,100,100,0.501,,0,697.41,,,,,70.27,164.78,0.44,0,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\gly_60_1.d ,1,2.687,3.208,3.873,344966,1000440,100,100,100,1.186,,317,0,317,0,,345144,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\ser_480_2.d ,1,1.852,2.697,4.498,34969.97,1002221.05,100,100,100,0.478,,0,920.71,,,,,87.13,90.97,0.28,26665.5,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\gly_240_2.d ,1,1.846,2.753,4.493,31027.29,1108764.13,100,100,100,0.596,,0,0,,,,,83.08,277.64,0.45,0,,,  ,237.09,,,,,,,,,,,
F:\2306\RC\230619\gly_480_2.d ,1,1.849,3.184,4.496,33520.18,1155130.07,100,100,100,0.574,,0,991.92,,,,,92.27,220.33,1.85,103284.79,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_240_1.d ,1,1.862,3.131,4.509,55726.01,1248279.58,100,100,100,0.67,,620.01,412.17,,,,,84.38,243.55,2.24,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_480_1.d ,1,1.85,3.15,4.497,50529.95,1369463.7,100,100,100,0.706,,0,0,,,,,71.78,99.19,2.01,0,,,  ,248.9721,,,,,,,,,,,
