sample,malate,pyruvate,serine,glycine,NADH,coa,acetylcoa,succinate,fumarate,citrate,atp,glyoxylate,alanine,aspartate,lysine,valine,oxobutanoate,hydroxyglutarate
NI_1hr,0.6963864872460855,0.9709802322790689,0.6739764938102368,0.4001428828967824,0.6536234700474002,0.7050380172003473,0.6733618039152591,0.7090909964679168,0.9400312976019267,0.7148830039830658,0.9245147873274031,0.4001428828967824,0.4001428828967824,0.6983864918119757,0.9418336962304138,0.9671060826803993,0.6052085937780043,0.4001428828967824
NI_2hr,0.8026934221750787,0.95695064,0.6311085926354811,0.4001428828967824,0.9503567818987357,0.9546657003942005,0.9518270703764926,0.6460092774639156,0.9794984058284775,0.969753835,0.9282349139199036,0.4001428828967824,0.4001428828967824,0.6414668679735223,0.8599767702605656,0.9349209149134871,0.6019272365820306,0.4001428828967824
NI_30min,0.648825985,0.9735696508972325,0.6374177594391859,0.4001428828967824,0.9234014948128614,0.9685396270952454,0.9141996943628106,0.6552934522556371,0.9756277869752005,0.9519955776223544,0.9040213760358755,0.4001428828967824,0.6608154564189396,0.6498441244138821,0.7320248743231865,0.8887699502338504,0.6024101767149646,0.4001428828967824
NI_4hr,0.8601502051356686,0.984006883,0.6270529608444492,0.4001428828967824,0.9645540790951856,0.9243214594589361,0.9803768261032176,0.6400412636817007,0.9531114985717132,0.9815430266970033,0.9284676250841439,0.4001428828967824,0.4001428828967824,0.6360818355915601,0.8431091538993531,0.9605465164356172,0.6016167950582558,0.4001428828967824
N_00,0.6601827880264145,0.6368735099421955,0.6461474896135139,0.4001428828967824,0.6701245170455246,0.6521347598351758,0.6574280321658075,0.6681395765291996,0.6330455685067378,0.6749645447704548,0.4001428828967824,0.4001428828967824,0.6749331814962958,0.6614353837038647,0.6375548151250154,0.6524331728080475,0.603078401,0.6281318863506157
N_01,0.6601827880264145,0.6368735099421955,0.6461474896135139,0.4001428828967824,0.6701245170455246,0.6521347598351758,0.6574280321658075,0.6681395765291996,0.6330455685067378,0.6749645447704548,0.4001428828967824,0.4001428828967824,0.6749331814962958,0.6614353837038647,0.6375548151250154,0.6524331728080475,0.603078401,0.6281318863506157
N_02,0.6601827880264145,0.6368735099421955,0.6461474896135139,0.4001428828967824,0.6701245170455246,0.6521347598351758,0.6574280321658075,0.6681395765291996,0.6330455685067378,0.6749645447704548,0.4001428828967824,0.4001428828967824,0.6749331814962958,0.6614353837038647,0.6375548151250154,0.6524331728080475,0.603078401,0.6281318863506157
N_03,0.6601827880264145,0.6368735099421955,0.6461474896135139,0.4001428828967824,0.6701245170455246,0.6521347598351758,0.6574280321658075,0.6681395765291996,0.6330455685067378,0.6749645447704548,0.4001428828967824,0.4001428828967824,0.6749331814962958,0.6614353837038647,0.6375548151250154,0.6524331728080475,0.603078401,0.6281318863506157
N_04,0.6601827880264145,0.6368735099421955,0.6461474896135139,0.4001428828967824,0.6701245170455246,0.6521347598351758,0.6574280321658075,0.6681395765291996,0.6330455685067378,0.6749645447704548,0.4001428828967824,0.4001428828967824,0.6749331814962958,0.6614353837038647,0.6375548151250154,0.6524331728080475,0.603078401,0.6281318863506157
N_05,0.6601827880264145,0.6368735099421955,0.6461474896135139,0.4001428828967824,0.6701245170455246,0.6521347598351758,0.6574280321658075,0.6681395765291996,0.6330455685067378,0.6749645447704548,0.4001428828967824,0.4001428828967824,0.6749331814962958,0.6614353837038647,0.6375548151250154,0.6524331728080475,0.603078401,0.6281318863506157
