,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
29,WP_000098614.1,2.2.1.1,Escherichia coli,R30,Transketolase,R01830,MRL,C00118; C05345,C00231; C00279,Km_C00231: 0.16; Km_C00279: 0.09; Km_C00118: 0.189899758; Km_C05345: 0.556608438,Kcat_F: 6.662656223; Kcat_R: 6.459872708500001,C05382;C13378;C12215;C00231;C00279;C00117;C00068;C00118;C00704;C05345;C12214;C00085,C00068_KI: 0.038001269;C00085_KI: 0.556608438;C00231_KI: 0.256388038;C12214_KI: 0.445117503;C00117_KI: 0.911134601;C05382_KI: 0.174451798;C00279_KI: 0.152465016;C00118_KI: 0.189899758;C12215_KI: 0.399685681;C05345_KI: 0.556608438;C00704_KI: 0.188270763;C13378_KI: 0.3516937548181818,Keq: 0.09072484041963634
30,WP_000098614.1,2.2.1.1,Escherichia coli,R31,Transketolase,R06590,MRL,C00117; C12214,C05382; C12215,Km_C05382: 4.0; Km_C12215: 0.399685681; Km_C00117: 1.4; Km_C12214: 0.445117503,Kcat_F: 5.002509517; Kcat_R: 5.172712832,C05382;C13378;C12215;C00231;C00279;C00117;C00068;C00118;C00704;C05345;C12214;C00085,C00068_KI: 0.038001269;C00085_KI: 0.556608438;C00231_KI: 0.256388038;C12214_KI: 0.445117503;C00117_KI: 0.911134601;C05382_KI: 0.174451798;C00279_KI: 0.152465016;C00118_KI: 0.189899758;C12215_KI: 0.399685681;C05345_KI: 0.556608438;C00704_KI: 0.188270763;C13378_KI: 0.3516937548181818,Keq: 1
31,WP_000098614.1,2.2.1.1,Escherichia coli,R32,Transketolase,R06861,MRL,C00068; C00231,C00118; C13378,Km_C00118: 0.189899758; Km_C13378: 0.12930034233333335; Km_C00068: 0.038001269; Km_C00231: 0.16,Kcat_F: 5.4421156075; Kcat_R: 7.597125547,C05382;C13378;C12215;C00231;C00279;C00117;C00068;C00118;C00704;C05345;C12214;C00085,C00068_KI: 0.038001269;C00085_KI: 0.556608438;C00231_KI: 0.256388038;C12214_KI: 0.445117503;C00117_KI: 0.911134601;C05382_KI: 0.174451798;C00279_KI: 0.152465016;C00118_KI: 0.189899758;C12215_KI: 0.399685681;C05345_KI: 0.556608438;C00704_KI: 0.188270763;C13378_KI: 0.3516937548181818,Keq: 0.6373380892436264
32,WP_000098614.1,2.2.1.1,Escherichia coli,R33,Transketolase,R06863,MRL,C00068; C05382,C00117; C13378,Km_C00117: 1.4; Km_C13378: 1.8126670896666666; Km_C00068: 0.038001269; Km_C05382: 4.0,Kcat_F: 5.2795694300000005; Kcat_R: 5.961297501,C05382;C13378;C12215;C00231;C00279;C00117;C00068;C00118;C00704;C05345;C12214;C00085,C00068_KI: 0.038001269;C00085_KI: 0.556608438;C00231_KI: 0.256388038;C12214_KI: 0.445117503;C00117_KI: 0.911134601;C05382_KI: 0.174451798;C00279_KI: 0.152465016;C00118_KI: 0.189899758;C12215_KI: 0.399685681;C05345_KI: 0.556608438;C00704_KI: 0.188270763;C13378_KI: 0.3516937548181818,Keq: 0.1356822249705415
33,WP_000963518.1,2.3.1.12,Escherichia coli,R34,Dihydrolipoyllysine-residue acetyltransferase,R02569,MRL,C00024; C15973,C00010; C16255,Km_C00010: 0.031586375; Km_C16255: 0.18516545; Km_C00024: 0.026032073; Km_C15973: 0.013259572,Kcat_F: 17.828021274999998; Kcat_R: 22.70772977,C00022;C15973;C00003;C00004;C00011;C00024;C00010;C16255;C00080,C00010_KI: 0.031586375;C00003_KI: 0.026235035;C00022_KI: 0.168190986;C00024_KI: 0.026032073;C00080_KI: 0.221310824;C16255_KI: 0.18516545;C00004_KI: 0.023208896;C15973_KI: 0.013259572;C00011_KI: 0.280183613,Keq: 1
35,WP_000024939.1,1.1.1.86,Escherichia coli,R36,Ketol-acid reductoisomerase (nadp+),R04439,MRL,C00006; C04272,C00005; C00080; C06010,Km_C00005: 0.009843333333333334; Km_C00080: 4.059542179; Km_C06010: 0.711560249; Km_C00006: 0.030275; Km_C04272: 0.869013727,Kcat_F: 0.31550618599999997; Kcat_R: 0.466571368,C00006;C06010;C06007;C04039;C04181;C00005;C06006;C00900;C14463;C00080;C04272,C04181_KI: 1.391577125;C06006_KI: 0.783738494;C04039_KI: 0.869013727;C06010_KI: 0.711560249;C04272_KI: 0.869013727;C00080_KI: 4.059542179;C00005_KI: 0.040613294;C00900_KI: 0.711560249;C06007_KI: 1.387176156;C14463_KI: 1.089072089;C00006_KI: 0.06692569,Keq: 0.0018271068398233305
36,WP_000024939.1,1.1.1.86,Escherichia coli,R37,Ketol-acid reductoisomerase (nadp+),R03051,MRL,C00005; C00080; C00900,C00006; C04039,Km_C00006: 0.030275; Km_C04039: 0.869013727; Km_C00005: 0.009843333333333334; Km_C00080: 4.059542179; Km_C00900: 0.25,Kcat_F: 0.9318333333333333; Kcat_R: 0.0022517500000000003,C00006;C06010;C06007;C04039;C04181;C00005;C06006;C00900;C14463;C00080;C04272,C04181_KI: 1.391577125;C06006_KI: 0.783738494;C04039_KI: 0.869013727;C06010_KI: 0.711560249;C04272_KI: 0.869013727;C00080_KI: 4.059542179;C00005_KI: 0.040613294;C00900_KI: 0.711560249;C06007_KI: 1.387176156;C14463_KI: 1.089072089;C00006_KI: 0.06692569,Keq: 547.313368985414
37,WP_000024939.1,1.1.1.86,Escherichia coli,R38,Ketol-acid reductoisomerase (nadp+),R04440,MRL,C00006; C04272,C00005; C00080; C04181,Km_C00005: 0.009843333333333334; Km_C00080: 4.059542179; Km_C04181: 0.26; Km_C00006: 0.030275; Km_C04272: 0.869013727,Kcat_F: 0.31550618599999997; Kcat_R: 1.61,C00006;C06010;C06007;C04039;C04181;C00005;C06006;C00900;C14463;C00080;C04272,C04181_KI: 1.391577125;C06006_KI: 0.783738494;C04039_KI: 0.869013727;C06010_KI: 0.711560249;C04272_KI: 0.869013727;C00080_KI: 4.059542179;C00005_KI: 0.040613294;C00900_KI: 0.711560249;C06007_KI: 1.387176156;C14463_KI: 1.089072089;C00006_KI: 0.06692569,Keq: 0.0018269763880264954
38,WP_000024939.1,1.1.1.86,Escherichia coli,R39,Ketol-acid reductoisomerase (nadp+),R05068,MRL,C00006; C06007,C00005; C00080; C14463,Km_C00005: 0.009843333333333334; Km_C00080: 4.059542179; Km_C14463: 1.3717091670833332; Km_C00006: 0.030275; Km_C06007: 1.387176156,Kcat_F: 0.72221065; Kcat_R: 0.12,C00006;C06010;C06007;C04039;C04181;C00005;C06006;C00900;C14463;C00080;C04272,C04181_KI: 1.391577125;C06006_KI: 0.783738494;C04039_KI: 0.869013727;C06010_KI: 0.711560249;C04272_KI: 0.869013727;C00080_KI: 4.059542179;C00005_KI: 0.040613294;C00900_KI: 0.711560249;C06007_KI: 1.387176156;C14463_KI: 1.089072089;C00006_KI: 0.06692569,Keq: 0.0018269256371777494
39,WP_000024939.1,1.1.1.86,Escherichia coli,R40,Ketol-acid reductoisomerase (nadp+),R05069,MRL,C06006,C14463,Km_C14463: 0.783738494; Km_C06006: 0.783738494,Kcat_F: 1.488236809; Kcat_R: 36.94316617111479,C00006;C06010;C06007;C04039;C04181;C00005;C06006;C00900;C14463;C00080;C04272,C04181_KI: 1.391577125;C06006_KI: 0.783738494;C04039_KI: 0.869013727;C06010_KI: 0.711560249;C04272_KI: 0.869013727;C00080_KI: 4.059542179;C00005_KI: 0.040613294;C00900_KI: 0.711560249;C06007_KI: 1.387176156;C14463_KI: 1.089072089;C00006_KI: 0.06692569,Keq: 0.9998941383839558
40,WP_000024939.1,1.1.1.86,Escherichia coli,R41,Ketol-acid reductoisomerase (nadp+),R05071,MRL,C06010,C04181,Km_C04181: 0.26; Km_C06010: 0.711560249,Kcat_F: 0.813142736; Kcat_R: 3.1,C00006;C06010;C06007;C04039;C04181;C00005;C06006;C00900;C14463;C00080;C04272,C04181_KI: 1.391577125;C06006_KI: 0.783738494;C04039_KI: 0.869013727;C06010_KI: 0.711560249;C04272_KI: 0.869013727;C00080_KI: 4.059542179;C00005_KI: 0.040613294;C00900_KI: 0.711560249;C06007_KI: 1.387176156;C14463_KI: 1.089072089;C00006_KI: 0.06692569,Keq: 0.9999286019875846
43,WP_000034402.1,2.5.1.47,Escherichia coli,R44,Cysteine synthase,R03601,MRL,C00979; C01528,C00033; C05688,Km_C00033: 1.032412648; Km_C05688: 0.685993731; Km_C00979: 11.033333333333333; Km_C01528: 0.02911186,Kcat_F: 384.02101377; Kcat_R: 121.2408383295,C05688;C00343;C05824;C00342;C00094;C00097;C00283;C00320;C01528;C00979;C00080;C00033,C00979_KI: 1.186576843;C00097_KI: 0.138483271;C00094_KI: 0.575978339;C00320_KI: 0.387112081;C00283_KI: 0.025407897;C00080_KI: 0.555193543;C05824_KI: 0.697108686;C00033_KI: 1.032412648;C00342_KI: 0.5313378899;C01528_KI: 0.02911186;C05688_KI: 0.685993731;C00343_KI: 0.5313378899,Keq: 1
44,WP_000034402.1,2.5.1.47,Escherichia coli,R45,Cysteine synthase,R04859,MRL,C00080; C00320; C00342; C00979,C00033; C00094; C00097; C00343,Km_C00033: 1.032412648; Km_C00094: 0.575978339; Km_C00097: 0.138483271; Km_C00343: 2.2870855358888886; Km_C00080: 0.555193543; Km_C00320: 0.387112081; Km_C00342: 2.2870855358888886; Km_C00979: 11.033333333333333,Kcat_F: 381.79395674; Kcat_R: 164.43284369333333,C05688;C00343;C05824;C00342;C00094;C00097;C00283;C00320;C01528;C00979;C00080;C00033,C00979_KI: 1.186576843;C00097_KI: 0.138483271;C00094_KI: 0.575978339;C00320_KI: 0.387112081;C00283_KI: 0.025407897;C00080_KI: 0.555193543;C05824_KI: 0.697108686;C00033_KI: 1.032412648;C00342_KI: 0.5313378899;C01528_KI: 0.02911186;C05688_KI: 0.685993731;C00343_KI: 0.5313378899,Keq: 1
47,WP_000130189.1,2.2.1.2,Escherichia coli,R48,Transaldolase,R01827,MRL,C00118; C05382,C00279; C05345,Km_C00279: 0.1975; Km_C05345: 1.0699999999999998; Km_C00118: 0.371981293; Km_C05382: 0.285,Kcat_F: 8.522153938999999; Kcat_R: 7.961376395,C05382;C01112;C00279;C07182;C00118;C02426;C05345;C00009;C00085,C05345_KI: 0.524452627;C00009_KI: 0.950375021;C00279_KI: 0.135417953;C02426_KI: 0.760540366;C07182_KI: 0.169961855;C05382_KI: 0.055124156;C00085_KI: 0.524452627;C01112_KI: 0.118502431;C00118_KI: 0.371981293,Keq: 0.25165152267225105
49,WP_000099823.1,2.3.1.61,Escherichia coli,R50,Dihydrolipoyllysine-residue succinyltransferase,R02570,MRL,C00091; C15973,C00010; C16254,Km_C00010: 0.029741414; Km_C16254: 0.014438955; Km_C00091: 0.025520761; Km_C15973: 0.011323265,Kcat_F: 1.310404403; Kcat_R: 1.2367148335,C06157;C15973;C00527;C16254;C00003;C00004;C00011;C00026;C00010;C00322;C00080;C00091,C00026_KI: 0.172540799;C15973_KI: 0.011323265;C00527_KI: 0.025667293;C00011_KI: 0.328845918;C16254_KI: 0.014438955;C00010_KI: 0.029741414;C00080_KI: 0.236688018;C06157_KI: 0.09181020372727274;C00004_KI: 0.0277845;C00003_KI: 0.054326154;C00091_KI: 0.025520761;C00322_KI: 0.083035164,Keq: 1
51,WP_000099823.1,2.3.1.61,Escherichia coli,R52,Dihydrolipoyllysine-residue succinyltransferase,R02571,MRL,C00527; C15973,C00010; C06157,Km_C00010: 0.029741414; Km_C06157: 0.022243990666666668; Km_C00527: 0.025667293; Km_C15973: 0.011323265,Kcat_F: 1.298461157; Kcat_R: 0.985192858,C06157;C15973;C00527;C16254;C00003;C00004;C00011;C00026;C00010;C00322;C00080;C00091,C00026_KI: 0.172540799;C15973_KI: 0.011323265;C00527_KI: 0.025667293;C00011_KI: 0.328845918;C16254_KI: 0.014438955;C00010_KI: 0.029741414;C00080_KI: 0.236688018;C06157_KI: 0.09181020372727274;C00004_KI: 0.0277845;C00003_KI: 0.054326154;C00091_KI: 0.025520761;C00322_KI: 0.083035164,Keq: 1
66,WP_000506490.1,1.3.1.9,Escherichia coli,R67,Enoyl-[acyl-carrier-protein] reductase (nadh),R01403,MRL,C00003; C00173,C00004; C00080; C00693,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C00693: 0.9941391999999999; Km_C00003: 0.076126106; Km_C00173: 0.9941391999999999,Kcat_F: 1.488236809; Kcat_R: 0.832269092,C05745;C00003;C00173;C05223;C05748;C00693;C05752;C05758;C05754;C05763;C05755;C05764;C05749;C04246;C05760;C05751;C05761;C00004;C00080,C00173_KI: 1.0028810449999999;C00693_KI: 1.0028810449999999;C05764_KI: 1.0028810449999999;C05752_KI: 1.0028810449999999;C05763_KI: 1.0028810449999999;C05223_KI: 1.0028810449999999;C05754_KI: 1.0028810449999999;C05748_KI: 1.0028810449999999;C05761_KI: 1.0028810449999999;C05758_KI: 1.0028810449999999;C05751_KI: 1.0028810449999999;C05745_KI: 1.0028810449999999;C05755_KI: 1.0028810449999999;C05760_KI: 1.0028810449999999;C00080_KI: 2.896291494;C00004_KI: 0.036225535;C00003_KI: 0.076126106;C05749_KI: 1.0028810449999999;C04246_KI: 1.0028810449999999,Keq: 1
74,WP_012767778.1,1.11.1.21,Escherichia coli,R75,Catalase-peroxidase,R00009,MRL,C00027,C00001; C00007,Km_C00001: 1.448194742; Km_C00007: 0.114121616; Km_C00027: 3.050466299,Kcat_F: 1232.352714; Kcat_R: 23.65764618,C00028;C00027;C00001;C00007;C00030,C00027_KI: 3.050466299;C00007_KI: 0.114121616;C00001_KI: 1.448194742;C00030_KI: 1.537594219;C00028_KI: 1.537594219,Keq: 1000000000000.0
75,WP_012767778.1,1.11.1.21,Escherichia coli,R76,Catalase-peroxidase,R03532,MRL,C00027; C00030,C00001; C00028,Km_C00001: 1.448194742; Km_C00028: 2.2493305205; Km_C00027: 3.050466299; Km_C00030: 2.2493305205,Kcat_F: 1232.352714; Kcat_R: 1.34251444,C00028;C00027;C00001;C00007;C00030,C00027_KI: 3.050466299;C00007_KI: 0.114121616;C00001_KI: 1.448194742;C00030_KI: 1.537594219;C00028_KI: 1.537594219,Keq: 1
80,WP_000034372.1,4.1.2.13,Escherichia coli,R81,Fructose-bisphosphate aldolase,R01070,MRL,C05378,C00111; C00118,Km_C00111: 0.219039723; Km_C00118: 0.376360387; Km_C05378: 0.103718825,Kcat_F: 0.439722953; Kcat_R: 3.7595076315,C00577;C00345;C00111;C00354;C00279;C00447;C00118;C05378;C00284;C01094;C00074,C00284_KI: 0.102871358;C00577_KI: 1.749873877;C05378_KI: 0.103718825;C01094_KI: 0.699701726;C00447_KI: 0.078385606;C00111_KI: 0.219039723;C00354_KI: 0.103718825;C00279_KI: 0.159231856;C00345_KI: 0.085602023;C00118_KI: 0.376360387;C00074_KI: 0.096961871,Keq: 0.00013655148818834327
84,WP_001062128.1,2.5.1.6,Escherichia coli,R85,Methionine adenosyltransferase,R04771,MRL,C00001; C00002; C05335,C00009; C00013; C05691,Km_C00009: 1.239684701; Km_C00013: 0.28967458; Km_C05691: 0.054899752; Km_C00001: 1.070862532; Km_C00002: 0.117182642; Km_C05335: 0.808324754,Kcat_F: 3.411925718666667; Kcat_R: 1.1131538493333333,C00019;C00013;C05335;C05691;C00001;C00002;C00009;C00073,C00019_KI: 0.048553739;C00073_KI: 0.466537207;C05691_KI: 0.054899752;C00001_KI: 1.070862532;C00002_KI: 0.117182642;C00009_KI: 1.239684701;C00013_KI: 0.28967458;C05335_KI: 0.808324754,Keq: 1
86,WP_000091148.1,2.7.1.40,Escherichia coli,R87,Pyruvate kinase,R00430,MRL,C00022; C00044,C00035; C00074,Km_C00035: 0.031300213; Km_C00074: 0.144000247; Km_C00022: 0.87643075; Km_C00044: 0.055115532,Kcat_F: 6.149742624; Kcat_R: 3.753631475,C00286;C05625;C00035;C00044;C00389;C00075;C00361;C00131;C00041;C00158;C00454;C00009;C00104;C00122;C00008;C00015;C00026;C00063;C00302;C00209;C00074;C01401;C00022;C00025;C00112;C00201;C00206;C00002;C00081;C00091,C00075_KI: 0.223727554;C00112_KI: 0.036078647;C00008_KI: 0.051032659;C00091_KI: 0.033106904;C00041_KI: 1.001196623;C00302_KI: 1.237834454;C00206_KI: 0.018646972;C00063_KI: 0.066866696;C00104_KI: 0.055906694;C01401_KI: 1.001196623;C00389_KI: 0.008297376;C00201_KI: 0.3355317063571429;C00131_KI: 0.016942503;C00122_KI: 0.454898477;C05625_KI: 0.031311039;C00044_KI: 0.055115532;C00286_KI: 0.020049427;C00026_KI: 0.352110684;C00015_KI: 0.152999684;C00454_KI: 0.3355317063571429;C00361_KI: 0.019646076;C00209_KI: 0.660195351;C00158_KI: 0.496947676;C00081_KI: 0.071252503;C00074_KI: 0.144000247;C00009_KI: 0.995755255;C00022_KI: 0.87643075;C00002_KI: 0.044206705;C00035_KI: 0.031300213;C00025_KI: 1.237834454,Keq: 1.3977566189344776e-05
87,WP_000091148.1,2.7.1.40,Escherichia coli,R88,Pyruvate kinase,R00572,MRL,C00022; C00063,C00074; C00112,Km_C00074: 0.144000247; Km_C00112: 0.036078647; Km_C00022: 0.87643075; Km_C00063: 0.066866696,Kcat_F: 8.4072842075; Kcat_R: 9.3889003745,C00286;C05625;C00035;C00044;C00389;C00075;C00361;C00131;C00041;C00158;C00454;C00009;C00104;C00122;C00008;C00015;C00026;C00063;C00302;C00209;C00074;C01401;C00022;C00025;C00112;C00201;C00206;C00002;C00081;C00091,C00075_KI: 0.223727554;C00112_KI: 0.036078647;C00008_KI: 0.051032659;C00091_KI: 0.033106904;C00041_KI: 1.001196623;C00302_KI: 1.237834454;C00206_KI: 0.018646972;C00063_KI: 0.066866696;C00104_KI: 0.055906694;C01401_KI: 1.001196623;C00389_KI: 0.008297376;C00201_KI: 0.3355317063571429;C00131_KI: 0.016942503;C00122_KI: 0.454898477;C05625_KI: 0.031311039;C00044_KI: 0.055115532;C00286_KI: 0.020049427;C00026_KI: 0.352110684;C00015_KI: 0.152999684;C00454_KI: 0.3355317063571429;C00361_KI: 0.019646076;C00209_KI: 0.660195351;C00158_KI: 0.496947676;C00081_KI: 0.071252503;C00074_KI: 0.144000247;C00009_KI: 0.995755255;C00022_KI: 0.87643075;C00002_KI: 0.044206705;C00035_KI: 0.031300213;C00025_KI: 1.237834454,Keq: 4.548142427643802e-05
