Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
,1.2.4.2,,R11,Oxoglutarate dehydrogenase (succinyl-transferring),R00621,MRL,C00026; C00068,C00011; C05381,Km_C00011: 110.9840944268356; Km_C05381: 0.0188667979091405; Km_C00026: 332.91150000000005; Km_C00068: 0.0219164825975894,Kcat_F: 11.193305654120564; Kcat_R: 3.167110314220737,C00091;C00080;C00011;C00068;C06157;C00026;C05381;C00322;C00004;C00003;C00036;C00527;C00010;C15972;C16254,C15972_KI: 0.0200106054544448;C00036_KI: 0.1405416091105767;C00026_KI: 0.1340849250555038;C00011_KI: 0.1405416091105767;C00068_KI: 0.0219164825975894;C05381_KI: 0.0188667979091405;C16254_KI: 0.1405416091105767;C00010_KI: 0.1405416091105767;C00080_KI: 0.6083805561065674;C06157_KI: 0.1405416091105767;C00091_KI: 0.0531178042292594;C00322_KI: 0.1405416091105767;C00527_KI: 0.1405416091105767;C00004_KI: 0.1405416091105767;C00003_KI: 0.1274140924215316
,1.2.4.2,,R12,Oxoglutarate dehydrogenase (succinyl-transferring),R01933,MRL,C00003; C00010; C00322,C00004; C00011; C00080; C00527,Km_C00004: 0.3678973242640495; Km_C00011: 0.3678973242640495; Km_C00080: 0.6083805561065674; Km_C00527: 0.3678973242640495; Km_C00003: 0.1274140924215316; Km_C00010: 0.3678973242640495; Km_C00322: 0.3678973242640495,Kcat_F: 4.034974102400456; Kcat_R: 56.755120681519195,C00091;C00080;C00011;C00068;C06157;C00026;C05381;C00322;C00004;C00003;C00036;C00527;C00010;C15972;C16254,C15972_KI: 0.0200106054544448;C00036_KI: 0.1405416091105767;C00026_KI: 0.1340849250555038;C00011_KI: 0.1405416091105767;C00068_KI: 0.0219164825975894;C05381_KI: 0.0188667979091405;C16254_KI: 0.1405416091105767;C00010_KI: 0.1405416091105767;C00080_KI: 0.6083805561065674;C06157_KI: 0.1405416091105767;C00091_KI: 0.0531178042292594;C00322_KI: 0.1405416091105767;C00527_KI: 0.1405416091105767;C00004_KI: 0.1405416091105767;C00003_KI: 0.1274140924215316
,1.2.4.2,,R13,Oxoglutarate dehydrogenase (succinyl-transferring),R01940,MRL,C00322; C15972,C00011; C06157,Km_C00011: 0.0200106054544448; Km_C06157: 0.0200106054544448; Km_C00322: 0.0200106054544448; Km_C15972: 0.0200106054544448,Kcat_F: 4.375894977583065; Kcat_R: 56.755120681519195,C00091;C00080;C00011;C00068;C06157;C00026;C05381;C00322;C00004;C00003;C00036;C00527;C00010;C15972;C16254,C15972_KI: 0.0200106054544448;C00036_KI: 0.1405416091105767;C00026_KI: 0.1340849250555038;C00011_KI: 0.1405416091105767;C00068_KI: 0.0219164825975894;C05381_KI: 0.0188667979091405;C16254_KI: 0.1405416091105767;C00010_KI: 0.1405416091105767;C00080_KI: 0.6083805561065674;C06157_KI: 0.1405416091105767;C00091_KI: 0.0531178042292594;C00322_KI: 0.1405416091105767;C00527_KI: 0.1405416091105767;C00004_KI: 0.1405416091105767;C00003_KI: 0.1274140924215316
,1.2.4.2,,R14,Oxoglutarate dehydrogenase (succinyl-transferring),R03316,MRL,C05381; C15972,C00068; C16254,Km_C00068: 0.0219164825975894; Km_C16254: 0.0202646286537249; Km_C05381: 0.0188667979091405; Km_C15972: 0.0200106054544448,Kcat_F: 3.7715026459019008; Kcat_R: 3.536611308241128,C00091;C00080;C00011;C00068;C06157;C00026;C05381;C00322;C00004;C00003;C00036;C00527;C00010;C15972;C16254,C15972_KI: 0.0200106054544448;C00036_KI: 0.1405416091105767;C00026_KI: 0.1340849250555038;C00011_KI: 0.1405416091105767;C00068_KI: 0.0219164825975894;C05381_KI: 0.0188667979091405;C16254_KI: 0.1405416091105767;C00010_KI: 0.1405416091105767;C00080_KI: 0.6083805561065674;C06157_KI: 0.1405416091105767;C00091_KI: 0.0531178042292594;C00322_KI: 0.1405416091105767;C00527_KI: 0.1405416091105767;C00004_KI: 0.1405416091105767;C00003_KI: 0.1274140924215316
,1.2.4.2,,R15,Oxoglutarate dehydrogenase (succinyl-transferring),R08549,MRL,C00003; C00010; C00026,C00004; C00011; C00080; C00091,Km_C00004: 83.42510311318935; Km_C00011: 83.42510311318935; Km_C00080: 0.6083805561065674; Km_C00091: 0.0531178042292594; Km_C00003: 0.1274140924215316; Km_C00010: 83.42510311318935; Km_C00026: 332.91150000000005,Kcat_F: 11.442487051200228; Kcat_R: 3.779889710242416,C00091;C00080;C00011;C00068;C06157;C00026;C05381;C00322;C00004;C00003;C00036;C00527;C00010;C15972;C16254,C15972_KI: 0.0200106054544448;C00036_KI: 0.1405416091105767;C00026_KI: 0.1340849250555038;C00011_KI: 0.1405416091105767;C00068_KI: 0.0219164825975894;C05381_KI: 0.0188667979091405;C16254_KI: 0.1405416091105767;C00010_KI: 0.1405416091105767;C00080_KI: 0.6083805561065674;C06157_KI: 0.1405416091105767;C00091_KI: 0.0531178042292594;C00322_KI: 0.1405416091105767;C00527_KI: 0.1405416091105767;C00004_KI: 0.1405416091105767;C00003_KI: 0.1274140924215316
,1.1.1.1,,R16,Alcohol dehydrogenase,R07326,MRL,C00003; C00069,C00004; C00071; C00080,Km_C00004: 0.33485322818160057; Km_C00071: 0.33485322818160057; Km_C00080: 0.5695337653160095; Km_C00003: 0.1001726910471916; Km_C00069: 0.33485322818160057,Kcat_F: 19.69812440972971; Kcat_R: 56.755120681519195,C00469;C14099;C06613;C00576;C00069;C00071;C00473;C05576;C16587;C01612;C00376;C00005;C00084;C01450;C00001;C02909;C07490;C16551;C00003;C16348;C16586;C00004;C14090;C05577;C06611;C06612;C14089;C05445;C16596;C05444;C00114;C06899;C00080;C16595;C00006;C07645;C00226,C16596_KI: 0.2928876834145437;C00071_KI: 0.2928876834145437;C01612_KI: 0.2928876834145437;C14090_KI: 0.2928876834145437;C00084_KI: 1.3478457927703855;C05445_KI: 0.0282410141080617;C00080_KI: 0.5695337653160095;C05576_KI: 0.2928876834145437;C00003_KI: 0.1001726910471916;C01450_KI: 0.2928876834145437;C07490_KI: 0.2928876834145437;C16586_KI: 0.2928876834145437;C14089_KI: 0.2928876834145437;C05577_KI: 0.2928876834145437;C00226_KI: 0.2928876834145437;C00473_KI: 0.2928876834145437;C06613_KI: 0.2928876834145437;C00001_KI: 0.2928876834145437;C05444_KI: 0.0305960215628147;C00006_KI: 0.2928876834145437;C06612_KI: 0.5013850331306458;C16551_KI: 0.2928876834145437;C16595_KI: 0.2928876834145437;C07645_KI: 0.0467292107641696;C00069_KI: 0.2928876834145437;C02909_KI: 0.0219607800245285;C06611_KI: 0.5013850331306458;C00576_KI: 0.2928876834145437;C16587_KI: 0.2928876834145437;C00469_KI: 0.2928876834145437;C00004_KI: 0.2928876834145437;C06899_KI: 0.3254671692848205;C00114_KI: 0.2928876834145437;C00005_KI: 0.0275932177901268;C00376_KI: 0.0137424720451235;C16348_KI: 0.2928876834145437;C14099_KI: 0.2928876834145437
,1.1.1.1,,R17,Alcohol dehydrogenase,R00623,MRL,C00003; C00226,C00004; C00071; C00080,Km_C00004: 0.33485322818160057; Km_C00071: 0.33485322818160057; Km_C00080: 0.5695337653160095; Km_C00003: 0.1001726910471916; Km_C00226: 0.33485322818160057,Kcat_F: 19.69812440972971; Kcat_R: 56.755120681519195,C00469;C14099;C06613;C00576;C00069;C00071;C00473;C05576;C16587;C01612;C00376;C00005;C00084;C01450;C00001;C02909;C07490;C16551;C00003;C16348;C16586;C00004;C14090;C05577;C06611;C06612;C14089;C05445;C16596;C05444;C00114;C06899;C00080;C16595;C00006;C07645;C00226,C16596_KI: 0.2928876834145437;C00071_KI: 0.2928876834145437;C01612_KI: 0.2928876834145437;C14090_KI: 0.2928876834145437;C00084_KI: 1.3478457927703855;C05445_KI: 0.0282410141080617;C00080_KI: 0.5695337653160095;C05576_KI: 0.2928876834145437;C00003_KI: 0.1001726910471916;C01450_KI: 0.2928876834145437;C07490_KI: 0.2928876834145437;C16586_KI: 0.2928876834145437;C14089_KI: 0.2928876834145437;C05577_KI: 0.2928876834145437;C00226_KI: 0.2928876834145437;C00473_KI: 0.2928876834145437;C06613_KI: 0.2928876834145437;C00001_KI: 0.2928876834145437;C05444_KI: 0.0305960215628147;C00006_KI: 0.2928876834145437;C06612_KI: 0.5013850331306458;C16551_KI: 0.2928876834145437;C16595_KI: 0.2928876834145437;C07645_KI: 0.0467292107641696;C00069_KI: 0.2928876834145437;C02909_KI: 0.0219607800245285;C06611_KI: 0.5013850331306458;C00576_KI: 0.2928876834145437;C16587_KI: 0.2928876834145437;C00469_KI: 0.2928876834145437;C00004_KI: 0.2928876834145437;C06899_KI: 0.3254671692848205;C00114_KI: 0.2928876834145437;C00005_KI: 0.0275932177901268;C00376_KI: 0.0137424720451235;C16348_KI: 0.2928876834145437;C14099_KI: 0.2928876834145437
,1.1.1.1,,R18,Alcohol dehydrogenase,R00754,MRL,C00003; C00469,C00004; C00080; C00084,Km_C00004: 0.6725174163778621; Km_C00080: 0.5695337653160095; Km_C00084: 1.3478457927703855; Km_C00003: 0.1001726910471916; Km_C00469: 0.6725174163778621,Kcat_F: 19.69812440972971; Kcat_R: 11.6365922386002,C00469;C14099;C06613;C00576;C00069;C00071;C00473;C05576;C16587;C01612;C00376;C00005;C00084;C01450;C00001;C02909;C07490;C16551;C00003;C16348;C16586;C00004;C14090;C05577;C06611;C06612;C14089;C05445;C16596;C05444;C00114;C06899;C00080;C16595;C00006;C07645;C00226,C16596_KI: 0.2928876834145437;C00071_KI: 0.2928876834145437;C01612_KI: 0.2928876834145437;C14090_KI: 0.2928876834145437;C00084_KI: 1.3478457927703855;C05445_KI: 0.0282410141080617;C00080_KI: 0.5695337653160095;C05576_KI: 0.2928876834145437;C00003_KI: 0.1001726910471916;C01450_KI: 0.2928876834145437;C07490_KI: 0.2928876834145437;C16586_KI: 0.2928876834145437;C14089_KI: 0.2928876834145437;C05577_KI: 0.2928876834145437;C00226_KI: 0.2928876834145437;C00473_KI: 0.2928876834145437;C06613_KI: 0.2928876834145437;C00001_KI: 0.2928876834145437;C05444_KI: 0.0305960215628147;C00006_KI: 0.2928876834145437;C06612_KI: 0.5013850331306458;C16551_KI: 0.2928876834145437;C16595_KI: 0.2928876834145437;C07645_KI: 0.0467292107641696;C00069_KI: 0.2928876834145437;C02909_KI: 0.0219607800245285;C06611_KI: 0.5013850331306458;C00576_KI: 0.2928876834145437;C16587_KI: 0.2928876834145437;C00469_KI: 0.2928876834145437;C00004_KI: 0.2928876834145437;C06899_KI: 0.3254671692848205;C00114_KI: 0.2928876834145437;C00005_KI: 0.0275932177901268;C00376_KI: 0.0137424720451235;C16348_KI: 0.2928876834145437;C14099_KI: 0.2928876834145437
,1.1.1.1,,R19,Alcohol dehydrogenase,R02124,MRL,C00003; C00473,C00004; C00080; C00376,Km_C00004: 0.22781630946944154; Km_C00080: 0.5695337653160095; Km_C00376: 0.0137424720451235; Km_C00003: 0.1001726910471916; Km_C00473: 0.22781630946944154,Kcat_F: 19.69812440972971; Kcat_R: 1.8432541661290385,C00469;C14099;C06613;C00576;C00069;C00071;C00473;C05576;C16587;C01612;C00376;C00005;C00084;C01450;C00001;C02909;C07490;C16551;C00003;C16348;C16586;C00004;C14090;C05577;C06611;C06612;C14089;C05445;C16596;C05444;C00114;C06899;C00080;C16595;C00006;C07645;C00226,C16596_KI: 0.2928876834145437;C00071_KI: 0.2928876834145437;C01612_KI: 0.2928876834145437;C14090_KI: 0.2928876834145437;C00084_KI: 1.3478457927703855;C05445_KI: 0.0282410141080617;C00080_KI: 0.5695337653160095;C05576_KI: 0.2928876834145437;C00003_KI: 0.1001726910471916;C01450_KI: 0.2928876834145437;C07490_KI: 0.2928876834145437;C16586_KI: 0.2928876834145437;C14089_KI: 0.2928876834145437;C05577_KI: 0.2928876834145437;C00226_KI: 0.2928876834145437;C00473_KI: 0.2928876834145437;C06613_KI: 0.2928876834145437;C00001_KI: 0.2928876834145437;C05444_KI: 0.0305960215628147;C00006_KI: 0.2928876834145437;C06612_KI: 0.5013850331306458;C16551_KI: 0.2928876834145437;C16595_KI: 0.2928876834145437;C07645_KI: 0.0467292107641696;C00069_KI: 0.2928876834145437;C02909_KI: 0.0219607800245285;C06611_KI: 0.5013850331306458;C00576_KI: 0.2928876834145437;C16587_KI: 0.2928876834145437;C00469_KI: 0.2928876834145437;C00004_KI: 0.2928876834145437;C06899_KI: 0.3254671692848205;C00114_KI: 0.2928876834145437;C00005_KI: 0.0275932177901268;C00376_KI: 0.0137424720451235;C16348_KI: 0.2928876834145437;C14099_KI: 0.2928876834145437
,1.1.1.1,,R20,Alcohol dehydrogenase,R04805,MRL,C00003; C05444,C00004; C00080; C05445,Km_C00004: 0.18213587300851938; Km_C00080: 0.5695337653160095; Km_C05445: 0.0282410141080617; Km_C00003: 0.1001726910471916; Km_C05444: 0.0305960215628147,Kcat_F: 17.77958661135159; Kcat_R: 19.841322002448376,C00469;C14099;C06613;C00576;C00069;C00071;C00473;C05576;C16587;C01612;C00376;C00005;C00084;C01450;C00001;C02909;C07490;C16551;C00003;C16348;C16586;C00004;C14090;C05577;C06611;C06612;C14089;C05445;C16596;C05444;C00114;C06899;C00080;C16595;C00006;C07645;C00226,C16596_KI: 0.2928876834145437;C00071_KI: 0.2928876834145437;C01612_KI: 0.2928876834145437;C14090_KI: 0.2928876834145437;C00084_KI: 1.3478457927703855;C05445_KI: 0.0282410141080617;C00080_KI: 0.5695337653160095;C05576_KI: 0.2928876834145437;C00003_KI: 0.1001726910471916;C01450_KI: 0.2928876834145437;C07490_KI: 0.2928876834145437;C16586_KI: 0.2928876834145437;C14089_KI: 0.2928876834145437;C05577_KI: 0.2928876834145437;C00226_KI: 0.2928876834145437;C00473_KI: 0.2928876834145437;C06613_KI: 0.2928876834145437;C00001_KI: 0.2928876834145437;C05444_KI: 0.0305960215628147;C00006_KI: 0.2928876834145437;C06612_KI: 0.5013850331306458;C16551_KI: 0.2928876834145437;C16595_KI: 0.2928876834145437;C07645_KI: 0.0467292107641696;C00069_KI: 0.2928876834145437;C02909_KI: 0.0219607800245285;C06611_KI: 0.5013850331306458;C00576_KI: 0.2928876834145437;C16587_KI: 0.2928876834145437;C00469_KI: 0.2928876834145437;C00004_KI: 0.2928876834145437;C06899_KI: 0.3254671692848205;C00114_KI: 0.2928876834145437;C00005_KI: 0.0275932177901268;C00376_KI: 0.0137424720451235;C16348_KI: 0.2928876834145437;C14099_KI: 0.2928876834145437
,1.1.1.1,,R21,Alcohol dehydrogenase,R04880,MRL,C00003; C05576,C00004; C00080; C05577,Km_C00004: 0.33485322818160057; Km_C00080: 0.5695337653160095; Km_C05577: 0.33485322818160057; Km_C00003: 0.1001726910471916; Km_C05576: 0.33485322818160057,Kcat_F: 19.69812440972971; Kcat_R: 56.755120681519195,C00469;C14099;C06613;C00576;C00069;C00071;C00473;C05576;C16587;C01612;C00376;C00005;C00084;C01450;C00001;C02909;C07490;C16551;C00003;C16348;C16586;C00004;C14090;C05577;C06611;C06612;C14089;C05445;C16596;C05444;C00114;C06899;C00080;C16595;C00006;C07645;C00226,C16596_KI: 0.2928876834145437;C00071_KI: 0.2928876834145437;C01612_KI: 0.2928876834145437;C14090_KI: 0.2928876834145437;C00084_KI: 1.3478457927703855;C05445_KI: 0.0282410141080617;C00080_KI: 0.5695337653160095;C05576_KI: 0.2928876834145437;C00003_KI: 0.1001726910471916;C01450_KI: 0.2928876834145437;C07490_KI: 0.2928876834145437;C16586_KI: 0.2928876834145437;C14089_KI: 0.2928876834145437;C05577_KI: 0.2928876834145437;C00226_KI: 0.2928876834145437;C00473_KI: 0.2928876834145437;C06613_KI: 0.2928876834145437;C00001_KI: 0.2928876834145437;C05444_KI: 0.0305960215628147;C00006_KI: 0.2928876834145437;C06612_KI: 0.5013850331306458;C16551_KI: 0.2928876834145437;C16595_KI: 0.2928876834145437;C07645_KI: 0.0467292107641696;C00069_KI: 0.2928876834145437;C02909_KI: 0.0219607800245285;C06611_KI: 0.5013850331306458;C00576_KI: 0.2928876834145437;C16587_KI: 0.2928876834145437;C00469_KI: 0.2928876834145437;C00004_KI: 0.2928876834145437;C06899_KI: 0.3254671692848205;C00114_KI: 0.2928876834145437;C00005_KI: 0.0275932177901268;C00376_KI: 0.0137424720451235;C16348_KI: 0.2928876834145437;C14099_KI: 0.2928876834145437
,1.1.1.1,,R22,Alcohol dehydrogenase,R05233,MRL,C00003; C06611,C00004; C00080; C06613,Km_C00004: 0.3903638298312823; Km_C00080: 0.5695337653160095; Km_C06613: 0.3903638298312823; Km_C00003: 0.1001726910471916; Km_C06611: 0.5013850331306458,Kcat_F: 13.301075248419663; Kcat_R: 56.755120681519195,C00469;C14099;C06613;C00576;C00069;C00071;C00473;C05576;C16587;C01612;C00376;C00005;C00084;C01450;C00001;C02909;C07490;C16551;C00003;C16348;C16586;C00004;C14090;C05577;C06611;C06612;C14089;C05445;C16596;C05444;C00114;C06899;C00080;C16595;C00006;C07645;C00226,C16596_KI: 0.2928876834145437;C00071_KI: 0.2928876834145437;C01612_KI: 0.2928876834145437;C14090_KI: 0.2928876834145437;C00084_KI: 1.3478457927703855;C05445_KI: 0.0282410141080617;C00080_KI: 0.5695337653160095;C05576_KI: 0.2928876834145437;C00003_KI: 0.1001726910471916;C01450_KI: 0.2928876834145437;C07490_KI: 0.2928876834145437;C16586_KI: 0.2928876834145437;C14089_KI: 0.2928876834145437;C05577_KI: 0.2928876834145437;C00226_KI: 0.2928876834145437;C00473_KI: 0.2928876834145437;C06613_KI: 0.2928876834145437;C00001_KI: 0.2928876834145437;C05444_KI: 0.0305960215628147;C00006_KI: 0.2928876834145437;C06612_KI: 0.5013850331306458;C16551_KI: 0.2928876834145437;C16595_KI: 0.2928876834145437;C07645_KI: 0.0467292107641696;C00069_KI: 0.2928876834145437;C02909_KI: 0.0219607800245285;C06611_KI: 0.5013850331306458;C00576_KI: 0.2928876834145437;C16587_KI: 0.2928876834145437;C00469_KI: 0.2928876834145437;C00004_KI: 0.2928876834145437;C06899_KI: 0.3254671692848205;C00114_KI: 0.2928876834145437;C00005_KI: 0.0275932177901268;C00376_KI: 0.0137424720451235;C16348_KI: 0.2928876834145437;C14099_KI: 0.2928876834145437
,1.1.1.1,,R23,Alcohol dehydrogenase,R05234,MRL,C00003; C06612,C00004; C00080; C16348,Km_C00004: 0.3903638298312823; Km_C00080: 0.5695337653160095; Km_C16348: 0.3903638298312823; Km_C00003: 0.1001726910471916; Km_C06612: 0.5013850331306458,Kcat_F: 13.301075248419663; Kcat_R: 56.755120681519195,C00469;C14099;C06613;C00576;C00069;C00071;C00473;C05576;C16587;C01612;C00376;C00005;C00084;C01450;C00001;C02909;C07490;C16551;C00003;C16348;C16586;C00004;C14090;C05577;C06611;C06612;C14089;C05445;C16596;C05444;C00114;C06899;C00080;C16595;C00006;C07645;C00226,C16596_KI: 0.2928876834145437;C00071_KI: 0.2928876834145437;C01612_KI: 0.2928876834145437;C14090_KI: 0.2928876834145437;C00084_KI: 1.3478457927703855;C05445_KI: 0.0282410141080617;C00080_KI: 0.5695337653160095;C05576_KI: 0.2928876834145437;C00003_KI: 0.1001726910471916;C01450_KI: 0.2928876834145437;C07490_KI: 0.2928876834145437;C16586_KI: 0.2928876834145437;C14089_KI: 0.2928876834145437;C05577_KI: 0.2928876834145437;C00226_KI: 0.2928876834145437;C00473_KI: 0.2928876834145437;C06613_KI: 0.2928876834145437;C00001_KI: 0.2928876834145437;C05444_KI: 0.0305960215628147;C00006_KI: 0.2928876834145437;C06612_KI: 0.5013850331306458;C16551_KI: 0.2928876834145437;C16595_KI: 0.2928876834145437;C07645_KI: 0.0467292107641696;C00069_KI: 0.2928876834145437;C02909_KI: 0.0219607800245285;C06611_KI: 0.5013850331306458;C00576_KI: 0.2928876834145437;C16587_KI: 0.2928876834145437;C00469_KI: 0.2928876834145437;C00004_KI: 0.2928876834145437;C06899_KI: 0.3254671692848205;C00114_KI: 0.2928876834145437;C00005_KI: 0.0275932177901268;C00376_KI: 0.0137424720451235;C16348_KI: 0.2928876834145437;C14099_KI: 0.2928876834145437
