Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters
,1.2.1.104,Enzyme,1.0,,,
6-phosphofructokinase,2.7.1.11,Enzyme,1.0,,,
, 2.3.1.54,Enzyme,1.0,,,
, 5.1.3.15,Enzyme,1.0,,,
Phosphoglycerate kinase,2.7.2.3,Enzyme,1.0,,,
6-phosphogluconolactonase,3.1.1.31,Enzyme,1.0,,,
,5.4.2.1,Enzyme,1.0,,,
Phosphoenolpyruvate carboxylase,4.1.1.31,Enzyme,1.0,,,
Phosphoenolpyruvate carboxykinase (atp),4.1.1.49,Enzyme,1.0,,,
"Pyruvate, water dikinase",2.7.9.2,Enzyme,1.0,,,
Phosphate acetyltransferase,2.3.1.8,Enzyme,1.0,,,
Pyruvate kinase,2.7.1.40,Enzyme,1.0,,,
Ribulose-phosphate 3-epimerase,5.1.3.1,Enzyme,1.0,,,
Ribose-5-phosphate isomerase,5.3.1.6,Enzyme,1.0,,,
Succinate dehydrogenase,1.3.5.1,Enzyme,1.0,,,
Succinate-coa ligase (adp-forming),6.2.1.5,Enzyme,1.0,,,
Transaldolase,2.2.1.2,Enzyme,1.0,,,
Transketolase,2.2.1.1,Enzyme,1.0,,,
Triose-phosphate isomerase,5.3.1.1,Enzyme,1.0,,,
Ketohexokinase,2.7.1.3,Enzyme,1.0,,,
2-dehydro-3-deoxy-phosphogluconate aldolase,4.1.2.14,Enzyme,1.0,,,
Phosphogluconate dehydratase,4.2.1.12,Enzyme,1.0,,,
Acetate-coa ligase,6.2.1.1,Enzyme,1.0,,,
C00217,,Metabolite,0.001,,,
C05625,,Metabolite,0.001,,,
C00469,,Metabolite,0.001,,,
C00091,,Metabolite,0.23,,,
C04309,,Metabolite,0.001,,,
C00454,,Metabolite,0.001,,,
C00352,,Metabolite,0.001,,,
C05345,,Metabolite,3.8,,,
C12215,,Metabolite,0.001,,,
C00284,,Metabolite,0.001,,,
C00192,,Metabolite,0.001,,,
C00004,,Metabolite,0.083,,,
C01327,,Metabolite,0.001,,,
C00064,,Metabolite,0.001,,,
C00002,,Metabolite,0.001,,,
C00311,,Metabolite,0.001,,,
C00736,,Metabolite,0.001,,,
C06232,,Metabolite,0.001,,,
C04650,,Metabolite,0.001,,,
C00092,,Metabolite,5.0,,,
C00025,,Metabolite,0.001,,,
C00806,,Metabolite,0.001,,,
C00390,,Metabolite,0.001,,,
C00010,,Metabolite,1.4,,,
C00013,,Metabolite,0.0,,,
C00241,,Metabolite,0.001,,,
C00665,,Metabolite,0.001,,,
C00236,,Metabolite,0.0,,,
C15972,,Metabolite,0.001,,,
C00037,,Metabolite,0.001,,,
C19935,,Metabolite,0.001,,,
C00122,,Metabolite,0.001,,,
C14099,,Metabolite,0.001,,,
C00044,,Metabolite,0.001,,,
C00069,,Metabolite,0.001,,,
C00383,,Metabolite,0.001,,,
C00135,,Metabolite,0.001,,,
C00131,,Metabolite,0.001,,,
C00014,,Metabolite,0.001,,,
C01412,,Metabolite,0.0,,,
C00001,,Metabolite,0.001,,,
C00345,,Metabolite,3.8,,,
C05669,,Metabolite,0.001,,,
C14090,,Metabolite,0.001,,,
C00451,,Metabolite,0.0,,,
C00716,,Metabolite,0.001,,,
C06612,,Metabolite,0.001,,,
C00575,,Metabolite,0.001,,,
C00078,,Metabolite,0.001,,,
C00389,,Metabolite,0.001,,,
C01172,,Metabolite,0.001,,,
C00081,,Metabolite,0.001,,,
C03444,,Metabolite,0.001,,,
C13378,,Metabolite,0.001,,,
C00117,,Metabolite,0.5,,,
C00531,,Metabolite,0.001,,,
C00015,,Metabolite,0.001,,,
