Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Relative
C00206,,Metabolite,0.001,,,,v130
C00665,,Metabolite,0.001,,,,v131
C00451,,Metabolite,0,,,,v132
C02441,,Metabolite,0.001,,,,v133
C16487,,Metabolite,0.001,,,,v134
C01231,,Metabolite,0.001,,,,v135
C00399,,Metabolite,0.001,,,,v136
C00512,,Metabolite,0.001,,,,v137
C00068,,Metabolite,0.001,,,,v138
C00117,,Metabolite,0.5,,,,v139
C00091,,Metabolite,0.23,,,,v140
C00041,,Metabolite,0.001,,,,v141
C05382,,Metabolite,0,,,,v142
C01159,,Metabolite,0.001,,,,v143
C04309,,Metabolite,0.001,,,,v144
C00015,,Metabolite,0.001,,,,v145
C05745,,Metabolite,0.001,,,,v146
C05274,,Metabolite,0.001,,,,v147
C00003,,Metabolite,0.001,,,,v148
C05763,,Metabolite,0.001,,,,v149
C20679,,Metabolite,0.001,,,,v150
C00685,,Metabolite,0.001,,,,v151
C00302,,Metabolite,0.001,,,,v152
C00097,,Metabolite,0.001,,,,v153
C03939,,Metabolite,0.001,,,,v154
C16470,,Metabolite,0.001,,,,v155
C05744,,Metabolite,0.001,,,,v156
C00111,,Metabolite,0.37,,,,v157
C06232,,Metabolite,0.001,,,,v158
C00552,,Metabolite,0.001,,,,v159
C00010,,Metabolite,1.4,,,,v160
C05265,,Metabolite,0.001,,,,v161
C00081,,Metabolite,0.001,,,,v162
C01213,,Metabolite,0.001,,,,v163
C00006,,Metabolite,0.0021,,,,v164
C00311,,Metabolite,0.001,,,,v165
C02593,,Metabolite,0.001,,,,v166
C00008,,Metabolite,0.001,,,,v167
C00042,,Metabolite,7.1692,,,,v168
C03785,,Metabolite,0.001,,,,v169
C05381,,Metabolite,0.001,,,,v170
C00577,,Metabolite,0.001,,,,v171
C00122,,Metabolite,0.001,,,,v172
C07118,,Metabolite,0.001,,,,v173
C00136,,Metabolite,0,,,,v174
C05754,,Metabolite,0.001,,,,v175
C00120,,Metabolite,0.001,,,,v176
C13378,,Metabolite,0.001,,,,v177
C00013,,Metabolite,0,,,,v178
C00040,,Metabolite,0.001,,,,v179
C05682,,Metabolite,0.001,,,,v180
C00092,,Metabolite,5,,,,v181
C00286,,Metabolite,0.001,,,,v182
C00347,,Metabolite,0.001,,,,v183
C00454,,Metabolite,0.001,,,,v184
C05263,,Metabolite,0.001,,,,v185
C00363,,Metabolite,0.001,,,,v186
C16339,,Metabolite,0.001,,,,v187
C00249,,Metabolite,0.001,,,,v188
C00149,,Metabolite,1.7,,,,v189
C05751,,Metabolite,0.001,,,,v190
C00002,,Metabolite,0.001,,,,v191
C04284,,Metabolite,0.001,,,,v192
C00026,,Metabolite,0.44,,,,v193
C15972,,Metabolite,0.001,,,,v194
C00131,,Metabolite,0.001,,,,v195
C00022,,Metabolite,0,,,,v196
C00024,,Metabolite,0.61,,,,v197
C03735,,Metabolite,0.001,,,,v198
C00490,,Metabolite,0.001,,,,v199
C18713,,Metabolite,0.001,,,,v200
C00693,,Metabolite,0.001,,,,v201
C00279,,Metabolite,0,,,,v202
C11165,,Metabolite,0.001,,,,v203
C01171,,Metabolite,0.001,,,,v204
C12214,,Metabolite,0.001,,,,v205
C05762,,Metabolite,0.001,,,,v206
C00201,,Metabolite,0.001,,,,v207
C16338,,Metabolite,0.001,,,,v208
C00075,,Metabolite,0.001,,,,v209
C00104,,Metabolite,0.001,,,,v210
