Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species
Acetylornithine deacetylase,3.5.1.16,Enzyme,2.92215568,,,,Escherichia coli
Udp-glucuronic acid dehydrogenase (udp-4-keto-hexauronic acid,1.1.1.305,Enzyme,2.37425149,,,,Escherichia coli
,7.6.2.-,Enzyme,1.64371257,,,,
,3.9.1.-,Enzyme,3.47005987,,,,
,1.5.1.38,Enzyme,3.28742514,,,,
Nadh:quinone reductase (non-electrogenic),1.6.5.9,Enzyme,3.28742514,,,,Escherichia coli
Glycerophosphodiester phosphodiesterase,3.1.4.46,Enzyme,3.83532933,,,,Escherichia coli
Uracil phosphoribosyltransferase,2.4.2.9,Enzyme,2.73952095,,,,Escherichia coli
Glycogen phosphorylase,2.4.1.1,Enzyme,2.37425149,,,,Escherichia coli
Hypoxanthine phosphoribosyltransferase,2.4.2.8,Enzyme,1.64371257,,,,Escherichia coli
,3.6.5.n1,Enzyme,2.37425149,,,,
,1.11.1.24,Enzyme,3.28742514,,,,
Beta-galactosidase,3.2.1.23,Enzyme,3.6526946,,,,Escherichia coli
Udp-n-acetylglucosamine 1-carboxyvinyltransferase,2.5.1.7,Enzyme,2.73952095,,,,Escherichia coli
,3.6.4.-,Enzyme,1.09580838,,,,
,3.4.15.5,Enzyme,2.55688622,,,,
,5.6.2.1,Enzyme,2.55688622,,,,
Acetylornithine transaminase,2.6.1.11,Enzyme,2.73952095,,,,Escherichia coli
Glutathione-disulfide reductase,1.8.1.7,Enzyme,1.8263473,,,,Escherichia coli
Orotidine-5'-phosphate decarboxylase,4.1.1.23,Enzyme,2.55688622,,,,Escherichia coli
1-(5-phosphoribosyl)-5-[(5,5.3.1.16,Enzyme,2.00898203,,,,Escherichia coli
,5.1.3.29,Enzyme,2.55688622,,,,
,2.3.1.-,Enzyme,2.92215568,,,,
N-acetylneuraminate lyase,4.1.3.3,Enzyme,2.92215568,,,,Escherichia coli
Phosphoribosylformylglycinamidine synthase,6.3.5.3,Enzyme,1.8263473,,,,Escherichia coli
Assimilatory sulfite reductase (nadph),1.8.1.2,Enzyme,3.10479041,,,,Escherichia coli
Phosphoribosylaminoimidazolesuccinocarboxamide synthase,6.3.2.6,Enzyme,2.55688622,,,,Escherichia coli
Beta-glucosidase,3.2.1.21,Enzyme,2.00898203,,,,Escherichia coli
Histidinol-phosphatase,3.1.3.15,Enzyme,1.8263473,,,,Escherichia coli
Peptide deformylase,3.5.1.88,Enzyme,3.10479041,,,,Escherichia coli
,2.7.1.167,Enzyme,1.46107784,,,,
Leucyl aminopeptidase,3.4.11.1,Enzyme,2.00898203,,,,Escherichia coli
Adenine phosphoribosyltransferase,2.4.2.7,Enzyme,3.47005987,,,,Escherichia coli
,4.98.1.1,Enzyme,1.64371257,,,,
,5.4.2.12,Enzyme,1.8263473,,,,
Tagatose-bisphosphate aldolase,4.1.2.40,Enzyme,1.8263473,,,,Escherichia coli
"1,4-dihydroxy-2-naphthoyl-coa synthase",4.1.3.36,Enzyme,2.19161676,,,,Escherichia coli
Ribonucleoside-diphosphate reductase,1.17.4.1,Enzyme,1.8263473,,,,Escherichia coli
Gmp reductase,1.7.1.7,Enzyme,1.8263473,,,,Escherichia coli
Glutamate-5-semialdehyde dehydrogenase,1.2.1.41,Enzyme,1.64371257,,,,Escherichia coli
,1.5.1.41,Enzyme,2.00898203,,,,
Xanthine phosphoribosyltransferase,2.4.2.22,Enzyme,1.27844311,,,,Escherichia coli
Riboflavin synthase,2.5.1.9,Enzyme,2.55688622,,,,Escherichia coli
,3.4.11.9,Enzyme,1.64371257,,,,
Acetylglutamate kinase,2.7.2.8,Enzyme,2.00898203,,,,Escherichia coli
,3.4.24.-,Enzyme,1.46107784,,,,
Phosphoribosylamine-glycine ligase,6.3.4.13,Enzyme,2.73952095,,,,Escherichia coli
Mannose-6-phosphate isomerase,5.3.1.8,Enzyme,2.19161676,,,,Escherichia coli
Atp phosphoribosyltransferase,2.4.2.17,Enzyme,1.27844311,,,,Escherichia coli
,3.1.11.2,Enzyme,2.19161676,,,,
Asparagine synthase (glutamine-hydrolysing),6.3.5.4,Enzyme,1.46107784,,,,Escherichia coli
Rna helicase,3.6.4.13,Enzyme,0.73053892,,,,Escherichia coli
Ump kinase,2.7.4.22,Enzyme,2.00898203,,,,Escherichia coli
,3.1.21.3,Enzyme,2.19161676,,,,
"Dtdp-4-amino-4,6-dideoxy-d-glucose transaminase",2.6.1.33,Enzyme,1.64371257,,,,Escherichia coli
N-methyl-l-amino-acid oxidase,1.5.3.2,Enzyme,0.91317365,,,,Escherichia coli
Dutp diphosphatase,3.6.1.23,Enzyme,1.8263473,,,,Escherichia coli
Arsenate reductase (glutathione/glutaredoxin),1.20.4.1,Enzyme,1.27844311,,,,Escherichia coli
"Udp-n-acetylmuramoyl-l-alanyl-d-glutamate-2,6-diaminopimelate ligase",6.3.2.13,Enzyme,1.09580838,,,,Escherichia coli
Peptide-methionine (r)-s-oxide reductase,1.8.4.12,Enzyme,1.64371257,,,,Escherichia coli
Thiosulfate sulfurtransferase,2.8.1.1,Enzyme,1.09580838,,,,Escherichia coli
,6.3.1.-,Enzyme,1.46107784,,,,
Alanine racemase,5.1.1.1,Enzyme,0.73053892,,,,Escherichia coli
Hydroxymethylbilane synthase,2.5.1.61,Enzyme,1.46107784,,,,Escherichia coli
Glutathione transferase,2.5.1.18,Enzyme,1.8263473,,,,Escherichia coli
Uroporphyrinogen decarboxylase,4.1.1.37,Enzyme,1.09580838,,,,Escherichia coli
,2.10.1.1,Enzyme,1.64371257,,,,
Pyridoxine 5'-phosphate synthase,2.6.99.2,Enzyme,1.27844311,,,,Escherichia coli
Orotate phosphoribosyltransferase,2.4.2.10,Enzyme,0.54790419,,,,Escherichia coli
Glucose-1-phosphate thymidylyltransferase,2.7.7.24,Enzyme,2.37425149,,,,Escherichia coli
Histidinol dehydrogenase,1.1.1.23,Enzyme,1.46107784,,,,Escherichia coli
Udp-n-acetylmuramoyl-l-alanine-d-glutamate ligase,6.3.2.9,Enzyme,1.27844311,,,,Escherichia coli
Dihydrofolate synthase,6.3.2.12,Enzyme,2.00898203,,,,Escherichia coli
,1.17.7.4,Enzyme,1.64371257,,,,
,6.3.2.45,Enzyme,1.09580838,,,,
Pyrroline-5-carboxylate reductase,1.5.1.2,Enzyme,0.54790419,,,,Escherichia coli
,3.1.3.-,Enzyme,1.27844311,,,,
"Dtdp-4-dehydrorhamnose 3,5-epimerase",5.1.3.13,Enzyme,1.8263473,,,,Escherichia coli
,1.6.5.10,Enzyme,0.73053892,,,,
N-acetyl-gamma-glutamyl-phosphate reductase,1.2.1.38,Enzyme,0.91317365,,,,Escherichia coli
Udp-n-acetylmuramoyl-tripeptide-d-alanyl-d-alanine ligase,6.3.2.10,Enzyme,0.36526946,,,,Escherichia coli
,3.6.1.-,Enzyme,1.09580838,,,,
,5.3.4.1,Enzyme,1.64371257,,,,
N-acetylmuramic acid 6-phosphate etherase,4.2.1.126,Enzyme,0.73053892,,,,Escherichia coli
Dtmp kinase,2.7.4.9,Enzyme,0.73053892,,,,Escherichia coli
Aspartate carbamoyltransferase,2.1.3.2,Enzyme,0.73053892,,,,Escherichia coli
,3.4.19.5,Enzyme,1.09580838,,,,
Sugar-phosphatase,3.1.3.23,Enzyme,1.8263473,,,,Escherichia coli
Uridine nucleosidase,3.2.2.3,Enzyme,1.27844311,,,,Escherichia coli
,3.6.1.66,Enzyme,1.8263473,,,,
,3.1.26.12,Enzyme,0.36526946,,,,
"3,4-dihydroxy-2-butanone-4-phosphate synthase",4.1.99.12,Enzyme,1.46107784,,,,Escherichia coli
,2.1.1.200,Enzyme,1.64371257,,,,
Gtp cyclohydrolase i,3.5.4.16,Enzyme,1.27844311,,,,Escherichia coli
Trna nucleotidyltransferase,2.7.7.56,Enzyme,0.36526946,,,,Escherichia coli
Agmatinase,3.5.3.11,Enzyme,0.91317365,,,,Escherichia coli
Dctp deaminase,3.5.4.13,Enzyme,1.64371257,,,,Escherichia coli
,2.1.1.-,Enzyme,0.91317365,,,,
Utp-glucose-1-phosphate uridylyltransferase,2.7.7.9,Enzyme,1.46107784,,,,Escherichia coli
Ribonucleoside-triphosphate reductase (thioredoxin),1.17.4.2,Enzyme,1.8263473,,,,Escherichia coli
Sulfate adenylyltransferase,2.7.7.4,Enzyme,1.27844311,,,,Escherichia coli
,3.1.11.6,Enzyme,0.18263473,,,,
,2.1.1.198,Enzyme,0.91317365,,,,
"3'(2'),5'-bisphosphate nucleotidase",3.1.3.7,Enzyme,0.36526946,,,,Escherichia coli
Trna (guanine46-n7)-methyltransferase,2.1.1.33,Enzyme,1.64371257,,,,Escherichia coli
3-deoxy-manno-octulosonate cytidylyltransferase,2.7.7.38,Enzyme,0.91317365,,,,Escherichia coli
,2.8.4.4,Enzyme,1.09580838,,,,
,2.1.1.186,Enzyme,1.64371257,,,,
,5.4.99.25,Enzyme,0.54790419,,,,
Udp-n-acetylmuramate-l-alanine ligase,6.3.2.8,Enzyme,0.36526946,,,,Escherichia coli
,2.3.1.191,Enzyme,0.91317365,,,,
,1.3.1.98,Enzyme,0.91317365,,,,
,3.1.-.-,Enzyme,0.36526946,,,,
Aminoacyl-trna hydrolase,3.1.1.29,Enzyme,0.36526946,,,,Escherichia coli
,1.4.99.-,Enzyme,0.18263473,,,,
,5.1.99.7,Enzyme,0.73053892,,,,
Dihydroorotase,3.5.2.3,Enzyme,0.54790419,,,,Escherichia coli
Pyridoxal kinase,2.7.1.35,Enzyme,0.54790419,,,,Escherichia coli
3-deoxy-manno-octulosonate-8-phosphatase,3.1.3.45,Enzyme,0.91317365,,,,Escherichia coli
Methylglyoxal synthase,4.2.3.3,Enzyme,0.54790419,,,,Escherichia coli
5'-nucleotidase,3.1.3.5,Enzyme,0.54790419,,,,Escherichia coli
,1.17.1.8,Enzyme,0.36526946,,,,
Ferroxidase,1.16.3.1,Enzyme,0.73053892,,,,Escherichia coli
,2.1.1.298,Enzyme,0.73053892,,,,
,4.3.2.10,Enzyme,0.54790419,,,,
Phosphoadenylyl-sulfate reductase (thioredoxin),1.8.4.8,Enzyme,1.09580838,,,,Escherichia coli
Glutamate 5-kinase,2.7.2.11,Enzyme,0.91317365,,,,Escherichia coli
,2.1.1.185,Enzyme,0.91317365,,,,
,2.1.1.191,Enzyme,1.09580838,,,,
Nicotinate-nucleotide diphosphorylase (carboxylating),2.4.2.19,Enzyme,1.27844311,,,,Escherichia coli
16s rrna (guanine1207-n2)-methyltransferase,2.1.1.172,Enzyme,0.73053892,,,,Escherichia coli
,3.6.5.-,Enzyme,1.8263473,,,,
,2.4.1.25,Enzyme,0.54790419,,,,
Demethylmenaquinone methyltransferase,2.1.1.163,Enzyme,0.73053892,,,,Escherichia coli
,1.-.-.-,Enzyme,0.73053892,,,,
All-trans-octaprenyl-diphosphate synthase,2.5.1.90,Enzyme,0.36526946,,,,Escherichia coli
Biotin synthase,2.8.1.6,Enzyme,0.73053892,,,,Escherichia coli
,1.1.1.-,Enzyme,0.36526946,,,,
Dtdp-4-dehydrorhamnose reductase,1.1.1.133,Enzyme,0.18263473,,,,Escherichia coli
,3.5.1.-,Enzyme,0.36526946,,,,
,2.1.1.170,Enzyme,0.91317365,,,,
"2',3'-cyclic-nucleotide 2'-phosphodiesterase",3.1.4.16,Enzyme,2.55688622,,,,Escherichia coli
,3.4.16.4,Enzyme,0.73053892,,,,
,2.1.2.-,Enzyme,0.73053892,,,,
Phosphoribosylformylglycinamidine cyclo-ligase,6.3.3.1,Enzyme,1.27844311,,,,Escherichia coli
,1.8.4.-,Enzyme,0.18263473,,,,
,2.8.1.-,Enzyme,1.09580838,,,,
Amp nucleosidase,3.2.2.4,Enzyme,0.36526946,,,,Escherichia coli
,3.1.3.104,Enzyme,0.54790419,,,,
Atp citrate synthase,2.3.3.8,Enzyme,5.29640717,,,,Escherichia coli
C00129,,Metabolite,0.001,,,,
C00025,,Metabolite,0.001,,,,
C04732,,Metabolite,0.001,,,,
C13645,,Metabolite,0.001,,,,
C00253,,Metabolite,0.001,,,,
C02282,,Metabolite,0.001,,,,
C00106,,Metabolite,0.001,,,,
C06250,,Metabolite,0.001,,,,
C00458,,Metabolite,0.001,,,,
C00212,,Metabolite,0.001,,,,
C03972,,Metabolite,0.001,,,,
C00085,,Metabolite,0.001,,,,
C00138,,Metabolite,0.001,,,,
C14802,,Metabolite,0.001,,,,
C00008,,Metabolite,0.001,,,,
C04133,,Metabolite,0.001,,,,
C05814,,Metabolite,0.001,,,,
C00022,,Metabolite,0,,,,
C00089,,Metabolite,0.001,,,,
C16663,,Metabolite,0.001,,,,
C01322,,Metabolite,0.001,,,,
C02987,,Metabolite,0.001,,,,
C00047,,Metabolite,0.001,,,,
C02839,,Metabolite,0.001,,,,
C01635,,Metabolite,0.001,,,,
C00385,,Metabolite,0.001,,,,
C11583,,Metabolite,0.001,,,,
C00369,,Metabolite,0.001,,,,
C00049,,Metabolite,0.001,,,,
C02992,,Metabolite,0.001,,,,
C03170,,Metabolite,0.001,,,,
C00718,,Metabolite,0.001,,,,
C01644,,Metabolite,0.001,,,,
C01648,,Metabolite,0.001,,,,
C03148,,Metabolite,0.001,,,,
C15586,,Metabolite,0.001,,,,
C04462,,Metabolite,0.001,,,,
C11811,,Metabolite,0.001,,,,
C01639,,Metabolite,0.001,,,,
C05650,,Metabolite,0.001,,,,
C03090,,Metabolite,0.001,,,,
C00242,,Metabolite,0.001,,,,
C05359,,Metabolite,0.001,,,,
C05686,,Metabolite,0.001,,,,
C04646,,Metabolite,0.001,,,,
C00058,,Metabolite,0,,,,
C05402,,Metabolite,0.001,,,,
C05839,,Metabolite,0.001,,,,
C00153,,Metabolite,0.001,,,,
C11278,,Metabolite,0.001,,,,
C03523,,Metabolite,0.001,,,,
C07836,,Metabolite,0.001,,,,
C06697,,Metabolite,0.001,,,,
C00064,,Metabolite,0.001,,,,
C04006,,Metabolite,0.001,,,,
C03287,,Metabolite,0.001,,,,
C00911,,Metabolite,0.001,,,,
C01185,,Metabolite,0.001,,,,
C00921,,Metabolite,0.001,,,,
C01100,,Metabolite,0.001,,,,
C16615,,Metabolite,0.001,,,,
C01762,,Metabolite,0.001,,,,
C00014,,Metabolite,0.001,,,,
C00327,,Metabolite,0.001,,,,
C00438,,Metabolite,0.001,,,,
C00159,,Metabolite,0.001,,,,
C00036,,Metabolite,0,,,,
C06059,,Metabolite,0.001,,,,
C00130,,Metabolite,0.001,,,,
C03838,,Metabolite,0.001,,,,
C04261,,Metabolite,0.001,,,,
C01929,,Metabolite,0.001,,,,
C00031,,Metabolite,0.001,,,,
C00044,,Metabolite,0.001,,,,
C01165,,Metabolite,0.001,,,,
C00185,,Metabolite,0.001,,,,
C00857,,Metabolite,0.001,,,,
C05818,,Metabolite,0.001,,,,
C04884,,Metabolite,0.001,,,,
C03741,,Metabolite,0.001,,,,
C11824,,Metabolite,0.001,,,,
C16619,,Metabolite,0.001,,,,
C05697,,Metabolite,0.001,,,,
C01050,,Metabolite,0.001,,,,
C01187,,Metabolite,0.001,,,,
C14792,,Metabolite,0.001,,,,
C01798,,Metabolite,0.001,,,,
C00005,,Metabolite,0.12,,,,
C04677,,Metabolite,0.001,,,,
C00283,,Metabolite,0.001,,,,
C16155,,Metabolite,0.001,,,,
C00726,,Metabolite,0.001,,,,
C00268,,Metabolite,0.001,,,,
C03880,,Metabolite,0.001,,,,
C01190,,Metabolite,0.001,,,,
C00221,,Metabolite,0.001,,,,
C00114,,Metabolite,0.001,,,,
C15587,,Metabolite,0.001,,,,
C00655,,Metabolite,0.001,,,,
C14804,,Metabolite,0.001,,,,
C00361,,Metabolite,0.001,,,,
C11638,,Metabolite,0.001,,,,
C14870,,Metabolite,0.001,,,,
C00169,,Metabolite,0.001,,,,
C01335,,Metabolite,0.001,,,,
C00239,,Metabolite,0.001,,,,
C01641,,Metabolite,0.001,,,,
C00931,,Metabolite,0.001,,,,
C02355,,Metabolite,0.001,,,,
C00137,,Metabolite,0.001,,,,
C00001,,Metabolite,0.001,,,,
C00021,,Metabolite,0.001,,,,
C00262,,Metabolite,0.001,,,,
C00647,,Metabolite,0.001,,,,
C00097,,Metabolite,0.001,,,,
C04160,,Metabolite,0.001,,,,
C06311,,Metabolite,0.001,,,,
C00029,,Metabolite,0.001,,,,
C00079,,Metabolite,0.001,,,,
C00399,,Metabolite,0.001,,,,
C00091,,Metabolite,0.23,,,,
C04702,,Metabolite,0.001,,,,
C00018,,Metabolite,0.001,,,,
C16614,,Metabolite,0.001,,,,
C15811,,Metabolite,0.001,,,,
C00842,,Metabolite,0.001,,,,
C03546,,Metabolite,0.001,,,,
C00828,,Metabolite,0.001,,,,
C00294,,Metabolite,0.001,,,,
C05335,,Metabolite,0.001,,,,
C04283,,Metabolite,0.001,,,,
C05512,,Metabolite,0.001,,,,
C04232,,Metabolite,0.001,,,,
C05404,,Metabolite,0.001,,,,
C00645,,Metabolite,0.001,,,,
C00342,,Metabolite,0.001,,,,
C00119,,Metabolite,0.001,,,,
C00065,,Metabolite,0.001,,,,
C00078,,Metabolite,0.001,,,,
C01645,,Metabolite,0.001,,,,
C11039,,Metabolite,0.001,,,,
C00255,,Metabolite,0.001,,,,
C06018,,Metabolite,0.001,,,,
C00415,,Metabolite,0.001,,,,
C05394,,Metabolite,0.001,,,,
C00015,,Metabolite,0.001,,,,
C00459,,Metabolite,0.001,,,,
C05841,,Metabolite,0.001,,,,
C00013,,Metabolite,0,,,,
C00122,,Metabolite,0.001,,,,
C06135,,Metabolite,0.001,,,,
C04051,,Metabolite,0.001,,,,
C14852,,Metabolite,0.001,,,,
C01829,,Metabolite,0.001,,,,
C00151,,Metabolite,0.001,,,,
C03402,,Metabolite,0.001,,,,
C00011,,Metabolite,0.001,,,,
C00041,,Metabolite,0.001,,,,
C00295,,Metabolite,0.001,,,,
C01233,,Metabolite,0.001,,,,
C14800,,Metabolite,0.001,,,,
C03798,,Metabolite,0.001,,,,
C00063,,Metabolite,0.001,,,,
C03692,,Metabolite,0.001,,,,
C03263,,Metabolite,0.001,,,,
C00027,,Metabolite,0.001,,,,
C05892,,Metabolite,0.001,,,,
C00240,,Metabolite,0.001,,,,
C01326,,Metabolite,0.001,,,,
C16664,,Metabolite,0.001,,,,
C03633,,Metabolite,0.001,,,,
C00993,,Metabolite,0.001,,,,
C05838,,Metabolite,0.001,,,,
C04737,,Metabolite,0.001,,,,
C03125,,Metabolite,0.001,,,,
C03657,,Metabolite,0.001,,,,
C04877,,Metabolite,0.001,,,,
C04281,,Metabolite,0.001,,,,
C00051,,Metabolite,0.001,,,,
C03512,,Metabolite,0.001,,,,
C04058,,Metabolite,0.001,,,,
C16698,,Metabolite,0.001,,,,
C00118,,Metabolite,0.001,,,,
C05399,,Metabolite,0.001,,,,
C00363,,Metabolite,0.001,,,,
C00448,,Metabolite,0.001,,,,
C03160,,Metabolite,0.001,,,,
C01250,,Metabolite,0.001,,,,
C15812,,Metabolite,0.001,,,,
C01652,,Metabolite,0.001,,,,
C02320,,Metabolite,0.001,,,,
C00275,,Metabolite,0.001,,,,
C02430,,Metabolite,0.001,,,,
C04146,,Metabolite,0.001,,,,
C11215,,Metabolite,0.001,,,,
C11437,,Metabolite,0.001,,,,
C00334,,Metabolite,0.001,,,,
C04911,,Metabolite,0.001,,,,
C14847,,Metabolite,0.001,,,,
C07292,,Metabolite,0.001,,,,
C14864,,Metabolite,0.001,,,,
C01909,,Metabolite,0.001,,,,
C02553,,Metabolite,0.001,,,,
C14839,,Metabolite,0.001,,,,
C03912,,Metabolite,0.001,,,,
C06136,,Metabolite,0.001,,,,
C00462,,Metabolite,0.001,,,,
C00705,,Metabolite,0.001,,,,
C17023,,Metabolite,0.001,,,,
C15653,,Metabolite,0.001,,,,
C00794,,Metabolite,0.001,,,,
C02412,,Metabolite,0.001,,,,
C00158,,Metabolite,0.001,,,,
C00454,,Metabolite,0.001,,,,
C01643,,Metabolite,0.001,,,,
C00946,,Metabolite,0.001,,,,
C01721,,Metabolite,0.001,,,,
C03373,,Metabolite,0.001,,,,
C03511,,Metabolite,0.001,,,,
C00884,,Metabolite,0.001,,,,
C00256,,Metabolite,3.25,,,,
C00188,,Metabolite,0.001,,,,
