Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters
WP_000100800.1,-,Enzyme,3.0,,,
WP_000242755.1,-,Enzyme,4.5,,,
WP_000759317.1,7.6.2.-,Enzyme,4.5,,,
WP_001295263.1,-,Enzyme,1.0,,,
WP_001043542.1,-,Enzyme,3.5,,,
Methylthioadenosine nucleosidase,3.2.2.16,Enzyme,2.0,,,
WP_000807125.1,3.9.1.-,Enzyme,2.0,,,
WP_000725337.1,-,Enzyme,3.0,,,
WP_001301404.1,-,Enzyme,4.5,,,
WP_000208242.1,3.4.25.2,Enzyme,2.0,,,
Acetolactate synthase,2.2.1.6,Enzyme,3.0,,,
3-deoxy-7-phosphoheptulonate synthase,2.5.1.54,Enzyme,5.0,,,
WP_000189159.1,1.5.1.38,Enzyme,3.5,,,
Glutathione synthase,6.3.2.3,Enzyme,5.0,,,
3-hydroxypropionate dehydrogenase (nadp+),1.1.1.298,Enzyme,1.0,,,
Nadh:quinone reductase (non-electrogenic),1.6.5.9,Enzyme,4.0,,,
Glycerophosphodiester phosphodiesterase,3.1.4.46,Enzyme,4.5,,,
Uracil phosphoribosyltransferase,2.4.2.9,Enzyme,3.5,,,
WP_000257278.1,-,Enzyme,3.0,,,
Aconitate hydratase,4.2.1.3,Enzyme,1.0,,,
L-serine ammonia-lyase,4.3.1.17,Enzyme,2.5,,,
WP_000905386.1,-,Enzyme,4.5,,,
WP_000168305.1,-,Enzyme,3.5,,,
Glycogen phosphorylase,2.4.1.1,Enzyme,2.5,,,
WP_000167336.1,-,Enzyme,3.5,,,
Hypoxanthine phosphoribosyltransferase,2.4.2.8,Enzyme,4.0,,,
WP_000790168.1,3.6.5.n1,Enzyme,5.0,,,
WP_001068682.1,1.11.1.24,Enzyme,3.5,,,
Beta-galactosidase,3.2.1.23,Enzyme,0.5,,,
WP_000131702.1,-,Enzyme,2.0,,,
WP_001295307.1,-,Enzyme,3.0,,,
Acetyl-coa carboxylase,6.4.1.2,Enzyme,2.5,,,
WP_000798859.1,-,Enzyme,2.0,,,
WP_000907234.1,-,Enzyme,4.0,,,
2-hydroxy-3-oxopropionate reductase,1.1.1.60,Enzyme,1.0,,,
Malate dehydrogenase (oxaloacetate-decarboxylating),1.1.1.38,Enzyme,4.5,,,
Udp-n-acetylglucosamine 1-carboxyvinyltransferase,2.5.1.7,Enzyme,2.5,,,
WP_001281254.1,5.6.2.2,Enzyme,3.0,,,
WP_000070491.1,-,Enzyme,2.0,,,
Threonine ammonia-lyase,4.3.1.19,Enzyme,4.5,,,
WP_000024392.1,-,Enzyme,2.0,,,
WP_001196611.1,3.6.4.-,Enzyme,1.5,,,
WP_000850550.1,-,Enzyme,1.0,,,
WP_001300598.1,3.4.15.5,Enzyme,1.0,,,
WP_000083065.1,-,Enzyme,2.0,,,
WP_001297122.1,5.6.2.1,Enzyme,2.5,,,
Glutamate-cysteine ligase,6.3.2.2,Enzyme,2.5,,,
Acetylornithine transaminase,2.6.1.11,Enzyme,1.0,,,
Glutathione-disulfide reductase,1.8.1.7,Enzyme,1.0,,,
5-methyltetrahydropteroyltriglutamate-homocysteine s-methyltransferase,2.1.1.14,Enzyme,0.5,,,
Orotidine-5'-phosphate decarboxylase,4.1.1.23,Enzyme,2.0,,,
WP_001033722.1,-,Enzyme,1.5,,,
1-(5-phosphoribosyl)-5-[(5,5.3.1.16,Enzyme,1.5,,,
WP_000154398.1,-,Enzyme,6.5,,,
WP_000920840.1,5.1.3.29,Enzyme,1.5,,,
WP_000861734.1,2.3.1.-,Enzyme,2.5,,,
WP_000857361.1,-,Enzyme,3.5,,,
N-acetylneuraminate lyase,4.1.3.3,Enzyme,1.5,,,
Nadh:quinone reductase (non-electrogenic),1.6.5.9,Enzyme,1.5,,,
WP_000896498.1,7.1.2.2,Enzyme,1.0,,,
Phosphoribosylformylglycinamidine synthase,6.3.5.3,Enzyme,2.0,,,
WP_000977920.1,-,Enzyme,1.5,,,
WP_000933736.1,-,Enzyme,5.0,,,
WP_001018618.1,-,Enzyme,2.0,,,
Assimilatory sulfite reductase (nadph),1.8.1.2,Enzyme,2.0,,,
WP_001001902.1,-,Enzyme,2.5,,,
Phosphoribosylaminoimidazolesuccinocarboxamide synthase,6.3.2.6,Enzyme,1.5,,,
WP_000101055.1,-,Enzyme,0.5,,,
WP_001157756.1,-,Enzyme,2.5,,,
WP_000572670.1,-,Enzyme,0.0,,,
WP_000717694.1,-,Enzyme,2.5,,,
WP_000801125.1,-,Enzyme,2.5,,,
WP_000097580.1,-,Enzyme,2.5,,,
Beta-glucosidase,3.2.1.21,Enzyme,3.0,,,
WP_000168475.1,-,Enzyme,1.0,,,
WP_000450409.1,-,Enzyme,1.5,,,
Histidinol-phosphatase,3.1.3.15,Enzyme,2.5,,,
WP_000805027.1,-,Enzyme,1.0,,,
WP_000804726.1,-,Enzyme,1.0,,,
Peptide deformylase,3.5.1.88,Enzyme,2.5,,,
WP_000869178.1,2.7.1.167,Enzyme,3.0,,,
WP_000699145.1,-,Enzyme,4.0,,,
Glucose-6-phosphate isomerase,5.3.1.9,Enzyme,3.5,,,
Leucyl aminopeptidase,3.4.11.1,Enzyme,2.0,,,
Fructose-bisphosphatase,3.1.3.11,Enzyme,5.0,,,
Ribulose-phosphate 3-epimerase,5.1.3.1,Enzyme,1.5,,,
Adenine phosphoribosyltransferase,2.4.2.7,Enzyme,2.0,,,
WP_000467098.1,-,Enzyme,2.0,,,
WP_012767758.1,-,Enzyme,1.0,,,
WP_000084590.1,4.98.1.1,Enzyme,2.0,,,
Betaine-aldehyde dehydrogenase,1.2.1.8,Enzyme,1.0,,,
WP_000116565.1,5.4.2.12,Enzyme,2.0,,,
Tagatose-bisphosphate aldolase,4.1.2.40,Enzyme,1.0,,,
"1,4-dihydroxy-2-naphthoyl-coa synthase",4.1.3.36,Enzyme,0.5,,,
Ribonucleoside-diphosphate reductase,1.17.4.1,Enzyme,1.0,,,
WP_000879113.1,-,Enzyme,2.5,,,
Gmp reductase,1.7.1.7,Enzyme,2.5,,,
Glutamate-5-semialdehyde dehydrogenase,1.2.1.41,Enzyme,7.0,,,
WP_000209826.1,1.5.1.41,Enzyme,2.0,,,
Xanthine phosphoribosyltransferase,2.4.2.22,Enzyme,2.0,,,
WP_000980709.1,-,Enzyme,2.0,,,
Riboflavin synthase,2.5.1.9,Enzyme,3.5,,,
WP_001040205.1,-,Enzyme,2.5,,,
Alcohol dehydrogenase (nadp+),1.1.1.2,Enzyme,0.5,,,
WP_001124469.1,-,Enzyme,1.0,,,
WP_001290123.1,3.4.11.9,Enzyme,3.0,,,
WP_001703864.1,-,Enzyme,0.5,,,
WP_000697915.1,-,Enzyme,0.5,,,
Phosphoglycerate dehydrogenase,1.1.1.95,Enzyme,1.0,,,
Acetylglutamate kinase,2.7.2.8,Enzyme,1.5,,,
WP_000115383.1,-,Enzyme,2.0,,,
WP_001169669.1,-,Enzyme,0.5,,,
Hydroxyacylglutathione hydrolase,3.1.2.6,Enzyme,1.5,,,
WP_001162160.1,3.4.24.-,Enzyme,3.5,,,
Phosphoribosylamine-glycine ligase,6.3.4.13,Enzyme,1.0,,,
WP_001056384.1,-,Enzyme,1.5,,,
WP_000082127.1,-,Enzyme,1.0,,,
Thymidylate synthase,2.1.1.45,Enzyme,1.5,,,
Mannose-6-phosphate isomerase,5.3.1.8,Enzyme,2.0,,,
WP_001194358.1,-,Enzyme,2.0,,,
Atp phosphoribosyltransferase,2.4.2.17,Enzyme,3.0,,,
WP_000200120.1,-,Enzyme,0.5,,,
WP_000673918.1,3.1.11.2,Enzyme,1.0,,,
Asparagine synthase (glutamine-hydrolysing),6.3.5.4,Enzyme,0.5,,,
WP_000028953.1,-,Enzyme,1.5,,,
Rna helicase,3.6.4.13,Enzyme,1.5,,,
WP_000462776.1,-,Enzyme,0.0,,,
Ump kinase,2.7.4.22,Enzyme,1.5,,,
WP_001295564.1,-,Enzyme,2.0,,,
WP_000386551.1,-,Enzyme,1.0,,,
Spermidine synthase,2.5.1.16,Enzyme,1.5,,,
Acetyl-coa carboxylase,6.4.1.2,Enzyme,1.5,,,
WP_000174677.1,-,Enzyme,2.5,,,
WP_001288587.1,7.1.2.2,Enzyme,0.0,,,
WP_000981380.1,3.1.21.3,Enzyme,1.0,,,
WP_000905789.1,-,Enzyme,3.0,,,
"Dtdp-4-amino-4,6-dideoxy-d-glucose transaminase",2.6.1.33,Enzyme,1.0,,,
N-methyl-l-amino-acid oxidase,1.5.3.2,Enzyme,3.0,,,
Dutp diphosphatase,3.6.1.23,Enzyme,1.5,,,
WP_001136827.1,-,Enzyme,2.0,,,
Arsenate reductase (glutathione/glutaredoxin),1.20.4.1,Enzyme,1.5,,,
WP_000831330.1,-,Enzyme,1.5,,,
WP_000055909.1,3.4.24.-,Enzyme,1.5,,,
WP_000750416.1,-,Enzyme,1.0,,,
"Udp-n-acetylmuramoyl-l-alanyl-d-glutamate-2,6-diaminopimelate ligase",6.3.2.13,Enzyme,1.5,,,
Peptide-methionine (r)-s-oxide reductase,1.8.4.12,Enzyme,2.0,,,
Thiosulfate sulfurtransferase,2.8.1.1,Enzyme,2.0,,,
WP_000511025.1,-,Enzyme,2.0,,,
WP_000442860.1,6.3.1.-,Enzyme,0.5,,,
Peptidylprolyl isomerase,5.2.1.8,Enzyme,1.5,,,
WP_001300397.1,-,Enzyme,1.0,,,
Alanine racemase,5.1.1.1,Enzyme,1.0,,,
Hydroxymethylbilane synthase,2.5.1.61,Enzyme,0.5,,,
WP_000378442.1,-,Enzyme,1.5,,,
Glutathione transferase,2.5.1.18,Enzyme,1.0,,,
WP_000961458.1,-,Enzyme,2.5,,,
Alcohol dehydrogenase,1.1.1.1,Enzyme,1.0,,,
Purine-nucleoside phosphorylase,2.4.2.1,Enzyme,2.0,,,
Uroporphyrinogen decarboxylase,4.1.1.37,Enzyme,0.0,,,
