Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
,6.1.1.16,Escherichia coli,R127,Cysteine-trna ligase,R03650,MRL,C00002; C00097; C01639,C00013; C00020; C03125,Km_C00013: 0.07970883; Km_C00020: 0.024324605; Km_C03125: 0.038915311749999994; Km_C00002: 0.038747367; Km_C00097: 0.012880445; Km_C01639: 0.038915311749999994,Kcat_F: 0.5814717523333333; Kcat_R: 0.4245691145,C00097;C00020;C01639;C03125;C00013;C00002,C01639_KI: 0.03891531175;C03125_KI: 0.03891531175;C00097_KI: 0.012880445;C00013_KI: 0.07970883;C00020_KI: 0.024324605;C00002_KI: 0.038747367
,4.3.2.2,Escherichia coli,R128,Adenylosuccinate lyase,R01083,MRL,C03794,C00020; C00122,Km_C00020: 0.094522104; Km_C00122: 0.39424628; Km_C03794: 0.057547767,Kcat_F: 0.405179704; Kcat_R: 9.415351124,C04677;C00020;C03794;C04823;C00122,C04677_KI: 0.05923371;C00020_KI: 0.094522104;C00122_KI: 0.39424628;C03794_KI: 0.057547767;C04823_KI: 0.060204025
,4.3.2.2,Escherichia coli,R129,Adenylosuccinate lyase,R04559,MRL,C04823,C00122; C04677,Km_C00122: 0.39424628; Km_C04677: 0.05923371; Km_C04823: 0.060204025,Kcat_F: 0.697907947; Kcat_R: 9.192037826,C04677;C00020;C03794;C04823;C00122,C04677_KI: 0.05923371;C00020_KI: 0.094522104;C00122_KI: 0.39424628;C03794_KI: 0.057547767;C04823_KI: 0.060204025
,4.2.1.24,Escherichia coli,R130,Porphobilinogen synthase,R00036,MRL,C00430,C00001; C00931,Km_C00001: 1.522294879; Km_C00931: 0.065090634; Km_C00430: 0.439851403,Kcat_F: 4.608057704; Kcat_R: 3.7278262284999997,C00001;C00430;C00931,C00931_KI: 0.065090634;C00001_KI: 1.522294879;C00430_KI: 0.439851403
,3.1.3.25,Escherichia coli,R131,Inositol-phosphate phosphatase,R07343,MRL,C00001; C15585,C00009; C00137,Km_C00009: 0.369495213; Km_C00137: 0.262719423; Km_C00001: 0.137840033; Km_C15585: 0.147341043,Kcat_F: 4.437444281; Kcat_R: 12.437051677,C03546;C00009;C00137;C00001;C04006;C01177;C15585,C15585_KI: 0.147341043;C03546_KI: 0.072910108;C00137_KI: 0.262719423;C01177_KI: 0.072910108;C00001_KI: 0.137840033;C00009_KI: 0.369495213;C04006_KI: 0.072910108
,3.1.3.25,Escherichia coli,R132,Inositol-phosphate phosphatase,R01185,MRL,C00001; C01177,C00009; C00137,Km_C00009: 0.369495213; Km_C00137: 0.262719423; Km_C00001: 0.137840033; Km_C01177: 0.051,Kcat_F: 3.2873681715; Kcat_R: 12.437051677,C03546;C00009;C00137;C00001;C04006;C01177;C15585,C15585_KI: 0.147341043;C03546_KI: 0.072910108;C00137_KI: 0.262719423;C01177_KI: 0.072910108;C00001_KI: 0.137840033;C00009_KI: 0.369495213;C04006_KI: 0.072910108
,3.1.3.25,Escherichia coli,R133,Inositol-phosphate phosphatase,R01186,MRL,C00001; C03546,C00009; C00137,Km_C00009: 0.369495213; Km_C00137: 0.262719423; Km_C00001: 0.137840033; Km_C03546: 0.072910108,Kcat_F: 19.002088846499998; Kcat_R: 12.437051677,C03546;C00009;C00137;C00001;C04006;C01177;C15585,C15585_KI: 0.147341043;C03546_KI: 0.072910108;C00137_KI: 0.262719423;C01177_KI: 0.072910108;C00001_KI: 0.137840033;C00009_KI: 0.369495213;C04006_KI: 0.072910108
,3.1.3.25,Escherichia coli,R134,Inositol-phosphate phosphatase,R01187,MRL,C00001; C04006,C00009; C00137,Km_C00009: 0.369495213; Km_C00137: 0.262719423; Km_C00001: 0.137840033; Km_C04006: 0.1,Kcat_F: 3.4873681715; Kcat_R: 12.437051677,C03546;C00009;C00137;C00001;C04006;C01177;C15585,C15585_KI: 0.147341043;C03546_KI: 0.072910108;C00137_KI: 0.262719423;C01177_KI: 0.072910108;C00001_KI: 0.137840033;C00009_KI: 0.369495213;C04006_KI: 0.072910108
,4.2.1.46,Escherichia coli,R135,"Dtdp-glucose 4,6-dehydratase",R06513,MRL,C00842,C00001; C11907,Km_C00001: 0.633973479; Km_C11907: 0.8684867395; Km_C00842: 1.103,Kcat_F: 3.4000000000000004; Kcat_R: 1.687189013,C00001;C00842;C11907,C11907_KI: 0.3344677925;C00001_KI: 0.633973479;C00842_KI: 0.034962106
,3.5.1.16,Escherichia coli,R136,Acetylornithine deacetylase,R00669,MRL,C00001; C00437,C00033; C00077,Km_C00033: 6.338354111; Km_C00077: 0.857986271; Km_C00001: 2.540906429; Km_C00437: 1.0,Kcat_F: 1351.141489612; Kcat_R: 1.5797537139999998,C00001;C00437;C00033;C00327;C00077;C15532,C00001_KI: 2.540906429;C00437_KI: 0.637485206;C00033_KI: 6.338354111;C00077_KI: 0.857986271;C00327_KI: 0.561292887;C15532_KI: 2.1872049808
